"","Idents(object = mammal.combined)"
"CME25A7812760Aligned.sortedByCoord.out.bam","4"
"CME25A7812757Aligned.sortedByCoord.out.bam","2"
"CME25A7812759Aligned.sortedByCoord.out.bam","0"
"CME25A7812758Aligned.sortedByCoord.out.bam","4"
"CME25A7812761Aligned.sortedByCoord.out.bam","3"
"CME25A7812756Aligned.sortedByCoord.out.bam","3"
"CME25A7812749Aligned.sortedByCoord.out.bam","4"
"CME25A7812754Aligned.sortedByCoord.out.bam","1"
"CME25A7812745Aligned.sortedByCoord.out.bam","4"
"CME25A7812755Aligned.sortedByCoord.out.bam","4"
"CME25A7812753Aligned.sortedByCoord.out.bam","3"
"CME25A7812750Aligned.sortedByCoord.out.bam","9"
"CME25A7812747Aligned.sortedByCoord.out.bam","3"
"CME25A7812751Aligned.sortedByCoord.out.bam","3"
"CME25A7812752Aligned.sortedByCoord.out.bam","6"
"CME25A7812746Aligned.sortedByCoord.out.bam","3"
"CME25A7812744Aligned.sortedByCoord.out.bam","4"
"CME25A7812742Aligned.sortedByCoord.out.bam","2"
"CME25A7812743Aligned.sortedByCoord.out.bam","1"
"CME25A7812715Aligned.sortedByCoord.out.bam","9"
"CME25A7812741Aligned.sortedByCoord.out.bam","2"
"CME25A7812740Aligned.sortedByCoord.out.bam","4"
"CME25A7812717Aligned.sortedByCoord.out.bam","9"
"CME25A7812739Aligned.sortedByCoord.out.bam","2"
"CME25A7812738Aligned.sortedByCoord.out.bam","2"
"CME25A7812737Aligned.sortedByCoord.out.bam","9"
"CME25A7812724Aligned.sortedByCoord.out.bam","9"
"CME25A7812734Aligned.sortedByCoord.out.bam","2"
"CME25A7812732Aligned.sortedByCoord.out.bam","2"
"CME25A7812736Aligned.sortedByCoord.out.bam","3"
"CME25A7812730Aligned.sortedByCoord.out.bam","2"
"CME25A7812735Aligned.sortedByCoord.out.bam","3"
"CME25A7812729Aligned.sortedByCoord.out.bam","3"
"CME25A7812731Aligned.sortedByCoord.out.bam","4"
"CME25A7812733Aligned.sortedByCoord.out.bam","4"
"CME25A7812727Aligned.sortedByCoord.out.bam","4"
"CME25A7812725Aligned.sortedByCoord.out.bam","4"
"CME25A7812728Aligned.sortedByCoord.out.bam","4"
"CME25A7812716Aligned.sortedByCoord.out.bam","4"
"CME25A7812722Aligned.sortedByCoord.out.bam","4"
"CME25A7812723Aligned.sortedByCoord.out.bam","0"
"CME25A7812714Aligned.sortedByCoord.out.bam","4"
"CME25A7812718Aligned.sortedByCoord.out.bam","4"
"CME25A7812720Aligned.sortedByCoord.out.bam","9"
"CME25A7812721Aligned.sortedByCoord.out.bam","2"
"CME25A7812710Aligned.sortedByCoord.out.bam","0"
"CME25A7812719Aligned.sortedByCoord.out.bam","2"
"CME25A7812713Aligned.sortedByCoord.out.bam","2"
"CME25A7812712Aligned.sortedByCoord.out.bam","2"
"CME25A7812709Aligned.sortedByCoord.out.bam","0"
"CME25A7812711Aligned.sortedByCoord.out.bam","0"
"CME25A7812707Aligned.sortedByCoord.out.bam","2"
"CME25A7812705Aligned.sortedByCoord.out.bam","2"
"CME25A7812706Aligned.sortedByCoord.out.bam","0"
"CME25A7812708Aligned.sortedByCoord.out.bam","6"
"CME25A7812699Aligned.sortedByCoord.out.bam","4"
"CME25A7812701Aligned.sortedByCoord.out.bam","4"
"CME25A7812703Aligned.sortedByCoord.out.bam","4"
"CME25A7812704Aligned.sortedByCoord.out.bam","3"
"CME25A7812679Aligned.sortedByCoord.out.bam","3"
"CME25A7812677Aligned.sortedByCoord.out.bam","6"
"CME25A7812678Aligned.sortedByCoord.out.bam","12"
"CME25A7812671Aligned.sortedByCoord.out.bam","12"
"CME25A7812675Aligned.sortedByCoord.out.bam","3"
"CME25A7812674Aligned.sortedByCoord.out.bam","3"
"CME25A7812670Aligned.sortedByCoord.out.bam","12"
"CME25A7812669Aligned.sortedByCoord.out.bam","12"
"CME25A7799646Aligned.sortedByCoord.out.bam","12"
"CME25A7812668Aligned.sortedByCoord.out.bam","13"
"CME25A7812667Aligned.sortedByCoord.out.bam","13"
"CME25A7799647Aligned.sortedByCoord.out.bam","12"
"CME25A7799648Aligned.sortedByCoord.out.bam","12"
"CME25A7812666Aligned.sortedByCoord.out.bam","13"
"CME25A7799643Aligned.sortedByCoord.out.bam","3"
"CME25A7799629Aligned.sortedByCoord.out.bam","1"
"CME25A7799645Aligned.sortedByCoord.out.bam","0"
"CME25A7799639Aligned.sortedByCoord.out.bam","12"
"CME25A7799644Aligned.sortedByCoord.out.bam","3"
"CME25A7799641Aligned.sortedByCoord.out.bam","6"
"CME25A7799642Aligned.sortedByCoord.out.bam","13"
"CME25A7799636Aligned.sortedByCoord.out.bam","12"
"CME25A7799640Aligned.sortedByCoord.out.bam","0"
"CME25A7799637Aligned.sortedByCoord.out.bam","1"
"CME25A7799638Aligned.sortedByCoord.out.bam","6"
"CME25A7799635Aligned.sortedByCoord.out.bam","13"
"CME25A7799632Aligned.sortedByCoord.out.bam","13"
"CME25A7799633Aligned.sortedByCoord.out.bam","12"
"CME25A7799631Aligned.sortedByCoord.out.bam","13"
"CME25A7799634Aligned.sortedByCoord.out.bam","1"
"CME25A7799626Aligned.sortedByCoord.out.bam","13"
"CME25A7799628Aligned.sortedByCoord.out.bam","6"
"CME25A7799625Aligned.sortedByCoord.out.bam","6"
"CME25A7799622Aligned.sortedByCoord.out.bam","2"
"CME25A7799623Aligned.sortedByCoord.out.bam","4"
"CME25A7799615Aligned.sortedByCoord.out.bam","3"
"CME25A7799614Aligned.sortedByCoord.out.bam","1"
"CME25A7799616Aligned.sortedByCoord.out.bam","6"
"CME25A7799618Aligned.sortedByCoord.out.bam","1"
"CME25A7799612Aligned.sortedByCoord.out.bam","1"
"CME25A7799605Aligned.sortedByCoord.out.bam","6"
"CME25A7799606Aligned.sortedByCoord.out.bam","1"
"CME25A7799611Aligned.sortedByCoord.out.bam","3"
"CME25A7799603Aligned.sortedByCoord.out.bam","1"
"CME25A7799604Aligned.sortedByCoord.out.bam","1"
"CME25A7799608Aligned.sortedByCoord.out.bam","1"
"CME25A7799610Aligned.sortedByCoord.out.bam","3"
"CME25A7799609Aligned.sortedByCoord.out.bam","0"
"CME25A7799598Aligned.sortedByCoord.out.bam","1"
"CME25A7799602Aligned.sortedByCoord.out.bam","1"
"CME25A7799601Aligned.sortedByCoord.out.bam","1"
"CME25A7799590Aligned.sortedByCoord.out.bam","0"
"CME25A7799600Aligned.sortedByCoord.out.bam","1"
"CME25A7799599Aligned.sortedByCoord.out.bam","6"
"CME25A7799597Aligned.sortedByCoord.out.bam","1"
"CME25A7799594Aligned.sortedByCoord.out.bam","2"
"CME25A7799591Aligned.sortedByCoord.out.bam","1"
"CME25A7799588Aligned.sortedByCoord.out.bam","1"
"CME25A7799592Aligned.sortedByCoord.out.bam","1"
"CME25A7799593Aligned.sortedByCoord.out.bam","1"
"CME25A7799584Aligned.sortedByCoord.out.bam","2"
"CME25A7799589Aligned.sortedByCoord.out.bam","1"
"CME25A7799580Aligned.sortedByCoord.out.bam","1"
"CME25A7799583Aligned.sortedByCoord.out.bam","2"
"CME25A7799582Aligned.sortedByCoord.out.bam","1"
"CME25A7799585Aligned.sortedByCoord.out.bam","1"
"CME25A7799581Aligned.sortedByCoord.out.bam","1"
"CME25A7799586Aligned.sortedByCoord.out.bam","3"
"CME25A7799579Aligned.sortedByCoord.out.bam","1"
"CME25A7799573Aligned.sortedByCoord.out.bam","1"
"CME25A7799577Aligned.sortedByCoord.out.bam","1"
"CME25A7799578Aligned.sortedByCoord.out.bam","1"
"CME25A7799571Aligned.sortedByCoord.out.bam","1"
"CME25A7799574Aligned.sortedByCoord.out.bam","1"
"CME25A7799575Aligned.sortedByCoord.out.bam","3"
"CME25A7799570Aligned.sortedByCoord.out.bam","1"
"CME25A7799560Aligned.sortedByCoord.out.bam","1"
"CME25A7799572Aligned.sortedByCoord.out.bam","6"
"CME25A7799569Aligned.sortedByCoord.out.bam","1"
"CME25A7799567Aligned.sortedByCoord.out.bam","1"
"CME25A7799568Aligned.sortedByCoord.out.bam","1"
