"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"CME25A7812760Aligned.sortedByCoord.out.bam","SeuratProject",415816,7231,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812757Aligned.sortedByCoord.out.bam","SeuratProject",778086,6812,"marmoset","newworld","primate","PGC_CS5","2","2"
"CME25A7812759Aligned.sortedByCoord.out.bam","SeuratProject",870901,8922,"marmoset","newworld","primate","ExMes_CS5","0","0"
"CME25A7812758Aligned.sortedByCoord.out.bam","SeuratProject",306352,4864,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812761Aligned.sortedByCoord.out.bam","SeuratProject",525344,12585,"marmoset","newworld","primate","Tb_CS5","3","3"
"CME25A7812756Aligned.sortedByCoord.out.bam","SeuratProject",884912,9040,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812749Aligned.sortedByCoord.out.bam","SeuratProject",762414,7172,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812754Aligned.sortedByCoord.out.bam","SeuratProject",384022,3830,"marmoset","newworld","primate","Tb_CS5","1","1"
"CME25A7812745Aligned.sortedByCoord.out.bam","SeuratProject",233141,5294,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812755Aligned.sortedByCoord.out.bam","SeuratProject",272627,10116,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812753Aligned.sortedByCoord.out.bam","SeuratProject",1212282,9195,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812750Aligned.sortedByCoord.out.bam","SeuratProject",2845704,8513,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7812747Aligned.sortedByCoord.out.bam","SeuratProject",1069870,10944,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812751Aligned.sortedByCoord.out.bam","SeuratProject",2403472,8948,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812752Aligned.sortedByCoord.out.bam","SeuratProject",3101963,8957,"marmoset","newworld","primate","VE_CS5","6","6"
"CME25A7812746Aligned.sortedByCoord.out.bam","SeuratProject",1323946,9841,"marmoset","newworld","primate","ReGland_CS5","3","3"
"CME25A7812744Aligned.sortedByCoord.out.bam","SeuratProject",248907,6150,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812742Aligned.sortedByCoord.out.bam","SeuratProject",944893,13220,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812743Aligned.sortedByCoord.out.bam","SeuratProject",129769,9296,"marmoset","newworld","primate","Tb_CS5","1","1"
"CME25A7812715Aligned.sortedByCoord.out.bam","SeuratProject",987201,5363,"marmoset","newworld","primate","SYS_CS5","9","9"
"CME25A7812741Aligned.sortedByCoord.out.bam","SeuratProject",564063,13104,"marmoset","newworld","primate","Am_CS5","2","2"
"CME25A7812740Aligned.sortedByCoord.out.bam","SeuratProject",244159,12333,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812717Aligned.sortedByCoord.out.bam","SeuratProject",2298441,8110,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7812739Aligned.sortedByCoord.out.bam","SeuratProject",933080,12930,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812738Aligned.sortedByCoord.out.bam","SeuratProject",1030603,12140,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812737Aligned.sortedByCoord.out.bam","SeuratProject",3507267,7986,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7812724Aligned.sortedByCoord.out.bam","SeuratProject",1639259,9069,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7812734Aligned.sortedByCoord.out.bam","SeuratProject",1343612,14343,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812732Aligned.sortedByCoord.out.bam","SeuratProject",533193,10417,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812736Aligned.sortedByCoord.out.bam","SeuratProject",2984883,9396,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812730Aligned.sortedByCoord.out.bam","SeuratProject",1510688,11896,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812735Aligned.sortedByCoord.out.bam","SeuratProject",3991082,12046,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812729Aligned.sortedByCoord.out.bam","SeuratProject",1173202,12915,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7812731Aligned.sortedByCoord.out.bam","SeuratProject",614439,8533,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812733Aligned.sortedByCoord.out.bam","SeuratProject",825145,6590,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812727Aligned.sortedByCoord.out.bam","SeuratProject",955872,7954,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812725Aligned.sortedByCoord.out.bam","SeuratProject",742919,8332,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812728Aligned.sortedByCoord.out.bam","SeuratProject",557590,8931,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812716Aligned.sortedByCoord.out.bam","SeuratProject",502469,10307,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812722Aligned.sortedByCoord.out.bam","SeuratProject",1329387,6231,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812723Aligned.sortedByCoord.out.bam","SeuratProject",1457757,6437,"marmoset","newworld","primate","ExMes_CS5","0","0"
"CME25A7812714Aligned.sortedByCoord.out.bam","SeuratProject",311648,7614,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812718Aligned.sortedByCoord.out.bam","SeuratProject",428681,7036,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812720Aligned.sortedByCoord.out.bam","SeuratProject",2463360,5877,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7812721Aligned.sortedByCoord.out.bam","SeuratProject",631258,8166,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812710Aligned.sortedByCoord.out.bam","SeuratProject",615634,7205,"marmoset","newworld","primate","EmDisc_CS5","0","0"
"CME25A7812719Aligned.sortedByCoord.out.bam","SeuratProject",767088,9361,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812713Aligned.sortedByCoord.out.bam","SeuratProject",852364,8752,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812712Aligned.sortedByCoord.out.bam","SeuratProject",855990,9373,"marmoset","newworld","primate","PGC_CS5","2","2"
"CME25A7812709Aligned.sortedByCoord.out.bam","SeuratProject",1523917,6143,"marmoset","newworld","primate","ExMes_CS5","0","0"
"CME25A7812711Aligned.sortedByCoord.out.bam","SeuratProject",921775,7054,"marmoset","newworld","primate","Tb_CS5","0","0"
"CME25A7812707Aligned.sortedByCoord.out.bam","SeuratProject",445008,5714,"marmoset","newworld","primate","Am_CS5","2","2"
"CME25A7812705Aligned.sortedByCoord.out.bam","SeuratProject",1975465,8669,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7812706Aligned.sortedByCoord.out.bam","SeuratProject",840565,4759,"marmoset","newworld","primate","Am_CS5","0","0"
"CME25A7812708Aligned.sortedByCoord.out.bam","SeuratProject",225502,12143,"marmoset","newworld","primate","ExMes_CS5","6","6"
"CME25A7812699Aligned.sortedByCoord.out.bam","SeuratProject",1009427,7256,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812701Aligned.sortedByCoord.out.bam","SeuratProject",373402,6120,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812703Aligned.sortedByCoord.out.bam","SeuratProject",623611,4482,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7812704Aligned.sortedByCoord.out.bam","SeuratProject",495886,6815,"marmoset","newworld","primate","Tb_CS5","3","3"
"CME25A7812679Aligned.sortedByCoord.out.bam","SeuratProject",797389,14019,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7812677Aligned.sortedByCoord.out.bam","SeuratProject",956923,11670,"marmoset","newworld","primate","Tb_CS7","6","6"
"CME25A7812678Aligned.sortedByCoord.out.bam","SeuratProject",2396785,7703,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7812671Aligned.sortedByCoord.out.bam","SeuratProject",1675298,9362,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7812675Aligned.sortedByCoord.out.bam","SeuratProject",309459,11592,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7812674Aligned.sortedByCoord.out.bam","SeuratProject",471397,10739,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7812670Aligned.sortedByCoord.out.bam","SeuratProject",1083863,8994,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7812669Aligned.sortedByCoord.out.bam","SeuratProject",568664,9633,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7799646Aligned.sortedByCoord.out.bam","SeuratProject",602393,9225,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7812668Aligned.sortedByCoord.out.bam","SeuratProject",3014795,8639,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7812667Aligned.sortedByCoord.out.bam","SeuratProject",3163663,8859,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799647Aligned.sortedByCoord.out.bam","SeuratProject",1453271,8870,"marmoset","newworld","primate","SYS_CS7","12","12"
