"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"HAND1",5.3759451791541e-61,1.5430866664255,0.993,0.511,1.73766676025798e-56,"0","HAND1"
"CDH11",1.71701215767933e-52,1.9733779571227,0.964,0.535,5.5498983972669e-48,"0","CDH11"
"PROM1",2.18511802140894e-52,2.31507894422554,0.993,0.733,7.0629569806001e-48,"0","PROM1"
"C1QTNF3",6.7909931667691e-50,1.89409794612232,0.964,0.487,2.19505272129478e-45,"0","C1QTNF3"
"OLFML2B",8.72547574173631e-50,1.16233346293763,0.832,0.262,2.82033552400143e-45,"0","OLFML2B"
"DOK4",8.76976052862186e-50,1.29705848940399,0.971,0.626,2.83464969566644e-45,"0","DOK4"
"CD226",9.79892298864962e-50,2.14370572312993,0.971,0.59,3.16730587762122e-45,"0","CD226"
"GDF10",3.042394808137e-49,1.3197697756604,0.876,0.333,9.83393273834122e-45,"0","GDF10"
"WNT5A",7.79732228043295e-49,1.66503043172949,0.949,0.536,2.52032848070434e-44,"0","WNT5A"
"FOXF1",1.67248314281521e-48,0.961061194388233,0.839,0.313,5.40596726252161e-44,"0","FOXF1"
"VIM",9.33025700885532e-48,1.54455817139717,1,0.805,3.0158189729723e-43,"0","VIM"
"BAMBI",2.10575514811542e-47,1.46331833400479,0.978,0.685,6.80643236525347e-43,"0","BAMBI"
"ALAS2",6.37926835219339e-47,0.753541704290675,0.803,0.261,2.06197090947947e-42,"0","ALAS2"
"BMP4",2.00751771150644e-46,1.55466204334779,0.949,0.707,6.48889949890226e-42,"0","BMP4"
"CRISPLD1",2.13624023995058e-44,1.28303757859185,0.993,0.56,6.90496932759225e-40,"0","CRISPLD1"
"MYL7",3.44456061946816e-44,1.00951722026436,0.898,0.401,1.11338532903069e-39,"0","MYL7"
"KRT19",4.68869322455066e-44,1.07383112955812,1,0.784,1.51552631097151e-39,"0","KRT19"
"RPS14",2.13885795950109e-42,0.612604990832772,1,0.99,6.91343058249536e-38,"0","RPS14"
"FBLN1",7.84828256052527e-42,1.17424698539698,0.993,0.944,2.53680037203858e-37,"0","FBLN1"
"ENSCJAG00000021897",2.07729489793703e-41,0.933165277050889,0.985,0.968,6.71444029860186e-37,"0","ENSCJAG00000021897"
"HOXA10",4.74779761106277e-41,0.886725296870632,0.825,0.327,1.53463062182382e-36,"0","HOXA10"
"MDK",8.93725761674858e-41,1.07681157580253,0.993,0.903,2.88878977946164e-36,"0","MDK"
"HNRNPA2B1",1.84849515512512e-37,0.779627137269571,1,0.999,5.97489088991092e-33,"0","HNRNPA2B1"
"FBN2",3.65714050217973e-37,1.03766619693839,0.891,0.464,1.18209752451956e-32,"0","FBN2"
"APOE",7.58363242575584e-37,0.907067073059565,1,0.913,2.45125750897706e-32,"0","APOE"
"RPS2",1.04332723253714e-36,0.774815968558489,1,1,3.37234661372981e-32,"0","RPS2"
"EVX1",1.22022982606463e-35,0.587980225006324,0.62,0.164,3.94414886678871e-31,"0","EVX1"
"GALNT1",1.43739705667624e-35,1.4672306285654,0.993,0.959,4.64609850629461e-31,"0","GALNT1"
"ID2",4.28195346839394e-35,0.838044866517052,0.971,0.763,1.38405581958897e-30,"0","ID2"
"PITX2",6.40918715831418e-35,0.807425801350349,0.898,0.485,2.07164156518189e-30,"0","PITX2"
"ENC1",1.12076870477296e-34,1.25493513125593,0.971,0.755,3.62266068443764e-30,"0","ENC1"
"ID3",2.40176831745708e-34,0.787060156215682,0.978,0.721,7.76323573251653e-30,"0","ID3"
"BMP2",1.05631597399817e-33,0.779783673659442,0.847,0.394,3.41433012275427e-29,"0","BMP2"
"SEMA6D",1.51882066827806e-33,1.31859352209669,0.971,0.725,4.90928404607518e-29,"0","SEMA6D"
"RPL22",6.19410962395201e-33,0.770997298670431,1,0.99,2.00212205375001e-28,"0","RPL22"
"HAND2",1.16110252366234e-32,0.609961363071397,0.745,0.291,3.75303168723378e-28,"0","HAND2"
"APLNR",1.92245880297773e-32,1.18228499518129,0.883,0.444,6.21396358886492e-28,"0","APLNR"
"NRP1",2.15257133702647e-32,0.922420780615632,0.803,0.402,6.95775633267064e-28,"0","NRP1"
"TRPV2",5.07567166201544e-32,0.83329768246443,0.81,0.368,1.64060935131325e-27,"0","TRPV2"
"TMEM88",5.10097734922263e-32,0.561445901887813,0.891,0.471,1.64878890858923e-27,"0","TMEM88"
"CMKLR1",2.06367663790182e-31,0.899642280560389,0.818,0.394,6.67042199669007e-27,"0","CMKLR1"
"EPHB3",2.39116681632119e-31,1.05031757037121,0.964,0.639,7.72896850039499e-27,"0","EPHB3"
"MMP2",2.62327283962406e-31,0.875623353955837,0.949,0.683,8.47920479951687e-27,"0","MMP2"
"TCF4",2.18767918259705e-30,0.926829925230441,0.964,0.776,7.07123542190844e-26,"0","TCF4"
"HES1",3.08299633314874e-30,0.531091028766639,0.796,0.358,9.96516904763669e-26,"0","HES1"
"WNT5B",3.73807966149744e-30,1.16166776708209,0.825,0.509,1.20825948898582e-25,"0","WNT5B"
"PKDCC",4.14621614355007e-30,1.10968591082312,0.927,0.654,1.34018144407969e-25,"0","PKDCC"
"WLS",1.67715819529919e-29,1.01133918828774,0.978,0.91,5.42107843466558e-25,"0","WLS"
