,CME25A7587213Aligned.sortedByCoord.out.bam,CME25A7587214Aligned.sortedByCoord.out.bam,CME25A7587215Aligned.sortedByCoord.out.bam,CME25A7587216Aligned.sortedByCoord.out.bam,CME25A7587217Aligned.sortedByCoord.out.bam,CME25A7587218Aligned.sortedByCoord.out.bam,CME25A7587219Aligned.sortedByCoord.out.bam,CME25A7587220Aligned.sortedByCoord.out.bam,CME25A7587222Aligned.sortedByCoord.out.bam,CME25A7587223Aligned.sortedByCoord.out.bam,CME25A7587224Aligned.sortedByCoord.out.bam,CME25A7587225Aligned.sortedByCoord.out.bam,CME25A7587226Aligned.sortedByCoord.out.bam,CME25A7587227Aligned.sortedByCoord.out.bam,CME25A7587228Aligned.sortedByCoord.out.bam,CME25A7587230Aligned.sortedByCoord.out.bam,CME25A7587232Aligned.sortedByCoord.out.bam,CME25A7587234Aligned.sortedByCoord.out.bam,CME25A7587235Aligned.sortedByCoord.out.bam,CME25A7587236Aligned.sortedByCoord.out.bam,CME25A7587237Aligned.sortedByCoord.out.bam,CME25A7587240Aligned.sortedByCoord.out.bam,CME25A7587242Aligned.sortedByCoord.out.bam,CME25A7587244Aligned.sortedByCoord.out.bam,CME25A7587245Aligned.sortedByCoord.out.bam,CME25A7587246Aligned.sortedByCoord.out.bam,CME25A7587247Aligned.sortedByCoord.out.bam,CME25A7587248Aligned.sortedByCoord.out.bam,CME25A7587249Aligned.sortedByCoord.out.bam,CME25A7587250Aligned.sortedByCoord.out.bam,CME25A7587251Aligned.sortedByCoord.out.bam,CME25A7587252Aligned.sortedByCoord.out.bam,CME25A7587255Aligned.sortedByCoord.out.bam,CME25A7587256Aligned.sortedByCoord.out.bam,CME25A7587257Aligned.sortedByCoord.out.bam,CME25A7587258Aligned.sortedByCoord.out.bam,CME25A7587259Aligned.sortedByCoord.out.bam,CME25A7587260Aligned.sortedByCoord.out.bam,CME25A7587261Aligned.sortedByCoord.out.bam,CME25A7587263Aligned.sortedByCoord.out.bam,CME25A7587264Aligned.sortedByCoord.out.bam,CME25A7587265Aligned.sortedByCoord.out.bam
RNU6-637P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000027159,0,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000021223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000031552,0,0,0,4,1,4,0,2,3,2,6,3,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,11,1,1,2,3,0,0
ENSCJAG00000033063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,116,0,0,0,0,0,0,0,0,0,0
SLITRK6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLITRK5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000025414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000026737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000032597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000003196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000027598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCJAG00000026873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-75P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-126P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
