"","marmoset_dataInVivo$LOC"
"CME25A7812760Aligned.sortedByCoord.out.bam","P1_E15B_207_AV"
"CME25A7812757Aligned.sortedByCoord.out.bam","P1_E15B_207_AS"
"CME25A7812756Aligned.sortedByCoord.out.bam","P1_E15B_207_AR"
"CME25A7812754Aligned.sortedByCoord.out.bam","P1_E15B_207_AP"
"CME25A7812745Aligned.sortedByCoord.out.bam","P1_E15B_207_AG"
"CME25A7812753Aligned.sortedByCoord.out.bam","P1_E15B_207_AO"
"CME25A7812750Aligned.sortedByCoord.out.bam","P1_E15B_207_AL"
"CME25A7812751Aligned.sortedByCoord.out.bam","P1_E15B_207_AM"
"CME25A7812752Aligned.sortedByCoord.out.bam","P1_E15B_207_AN"
"CME25A7812748Aligned.sortedByCoord.out.bam","P1_E15B_207_AJ"
"CME25A7812743Aligned.sortedByCoord.out.bam","P1_E15B_207_AE"
"CME25A7812715Aligned.sortedByCoord.out.bam","P1_E15B_207_C"
"CME25A7812741Aligned.sortedByCoord.out.bam","P1_E15B_207_AC"
"CME25A7812740Aligned.sortedByCoord.out.bam","P1_E15B_207_AB"
"CME25A7812739Aligned.sortedByCoord.out.bam","P1_E15B_207_AA"
"CME25A7812738Aligned.sortedByCoord.out.bam","P1_E15B_207_Z"
"CME25A7812737Aligned.sortedByCoord.out.bam","P1_E15B_207_Y"
"CME25A7812724Aligned.sortedByCoord.out.bam","P1_E15B_207_L"
"CME25A7812730Aligned.sortedByCoord.out.bam","P1_E15B_207_R"
"CME25A7812729Aligned.sortedByCoord.out.bam","P1_E15B_207_Q"
"CME25A7812727Aligned.sortedByCoord.out.bam","P1_E15B_207_O"
"CME25A7812716Aligned.sortedByCoord.out.bam","P1_E15B_207_D"
"CME25A7812722Aligned.sortedByCoord.out.bam","P1_E15B_207_J"
"CME25A7812723Aligned.sortedByCoord.out.bam","P1_E15B_207_K"
"CME25A7812714Aligned.sortedByCoord.out.bam","P1_E15B_207_B"
"CME25A7812718Aligned.sortedByCoord.out.bam","P1_E15B_207_F"
"CME25A7812720Aligned.sortedByCoord.out.bam","P1_E15B_207_H"
"CME25A7812721Aligned.sortedByCoord.out.bam","P1_E15B_207_I"
"CME25A7812719Aligned.sortedByCoord.out.bam","P1_E15B_207_G"
"CME25A7812709Aligned.sortedByCoord.out.bam","P1_E15B_193_AR"
"CME25A7812711Aligned.sortedByCoord.out.bam","P1_E15B_193_AT"
"CME25A7812705Aligned.sortedByCoord.out.bam","P1_E15B_193_AN"
"CME25A7812708Aligned.sortedByCoord.out.bam","P1_E15B_193_AQ"
"CME25A7812701Aligned.sortedByCoord.out.bam","P1_E15B_193_AJ"
"CME25A7812704Aligned.sortedByCoord.out.bam","P1_E15B_193_AM"
"CME25A7812702Aligned.sortedByCoord.out.bam","P1_E15B_193_AK"
"CME25A7812700Aligned.sortedByCoord.out.bam","P1_E15B_193_AI"
"CME25A7812695Aligned.sortedByCoord.out.bam","P1_E15B_193_AD"
