Filename,SRR,ID,Day,Type,Type2,Type3,Type4,Type5,Order
SRR10040051Aligned.sortedByCoord.out.bam,SRR10040051,D14A3S8,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,1
SRR10040050Aligned.sortedByCoord.out.bam,SRR10040050,D14A3S7,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,2
SRR10040049Aligned.sortedByCoord.out.bam,SRR10040049,D14A3S5,D14,CTB,CTB_D14,Tb_CS6,CTb_CS6,Tb_CS6,3
SRR10040048Aligned.sortedByCoord.out.bam,SRR10040048,D14A3S30,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,4
SRR10040047Aligned.sortedByCoord.out.bam,SRR10040047,D14A3S29,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,5
SRR10040045Aligned.sortedByCoord.out.bam,SRR10040045,D14A3S27,D14,CTB,CTB_D14,Tb_CS6,CTb_CS6,Tb_CS6,6
SRR10040046Aligned.sortedByCoord.out.bam,SRR10040046,D14A3S28,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,7
SRR10040043Aligned.sortedByCoord.out.bam,SRR10040043,D14A3S25,D14,CTB,CTB_D14,Tb_CS6,CTb_CS6,Tb_CS6,8
SRR10040044Aligned.sortedByCoord.out.bam,SRR10040044,D14A3S26,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,9
SRR10040042Aligned.sortedByCoord.out.bam,SRR10040042,D14A3S23,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,10
SRR10040040Aligned.sortedByCoord.out.bam,SRR10040040,D14A3S19,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,11
SRR10040041Aligned.sortedByCoord.out.bam,SRR10040041,D14A3S20,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,12
SRR10040039Aligned.sortedByCoord.out.bam,SRR10040039,D14A3S18,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,13
SRR10040035Aligned.sortedByCoord.out.bam,SRR10040035,D14A3B14,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,14
SRR10040036Aligned.sortedByCoord.out.bam,SRR10040036,D14A3B2,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,15
SRR10040038Aligned.sortedByCoord.out.bam,SRR10040038,D14A3S14,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,16
SRR10040032Aligned.sortedByCoord.out.bam,SRR10040032,D14A2S6,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,17
SRR10040037Aligned.sortedByCoord.out.bam,SRR10040037,D14A3B7,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,18
SRR10040031Aligned.sortedByCoord.out.bam,SRR10040031,D14A2S5,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,19
SRR10040034Aligned.sortedByCoord.out.bam,SRR10040034,D14A3B12,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,20
SRR10040033Aligned.sortedByCoord.out.bam,SRR10040033,D14A3B10,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,21
SRR10040028Aligned.sortedByCoord.out.bam,SRR10040028,D14A2S27,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,22
SRR10040025Aligned.sortedByCoord.out.bam,SRR10040025,D14A2S1,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,23
SRR10040027Aligned.sortedByCoord.out.bam,SRR10040027,D14A2S23,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,24
SRR10040030Aligned.sortedByCoord.out.bam,SRR10040030,D14A2S29,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,25
SRR10040029Aligned.sortedByCoord.out.bam,SRR10040029,D14A2S28,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,26
SRR10040026Aligned.sortedByCoord.out.bam,SRR10040026,D14A2S21,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,27
SRR10040024Aligned.sortedByCoord.out.bam,SRR10040024,D14A2S19,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,28
SRR10040018Aligned.sortedByCoord.out.bam,SRR10040018,D14A2B4,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,29
SRR10040020Aligned.sortedByCoord.out.bam,SRR10040020,D14A2B9,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,30
SRR10040022Aligned.sortedByCoord.out.bam,SRR10040022,D14A2S15,D14,CTB,CTB_D14,Tb_CS6,CTb_CS6,Tb_CS6,31
SRR10040023Aligned.sortedByCoord.out.bam,SRR10040023,D14A2S17,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,32
SRR10040021Aligned.sortedByCoord.out.bam,SRR10040021,D14A2S13,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,33
SRR10040019Aligned.sortedByCoord.out.bam,SRR10040019,D14A2B7,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,34
SRR10040016Aligned.sortedByCoord.out.bam,SRR10040016,D14A2B1,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,35
SRR10040017Aligned.sortedByCoord.out.bam,SRR10040017,D14A2B2,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,36
SRR10040014Aligned.sortedByCoord.out.bam,SRR10040014,D14A2B13,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,37
SRR10040015Aligned.sortedByCoord.out.bam,SRR10040015,D14A2B16,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,38
SRR10040007Aligned.sortedByCoord.out.bam,SRR10040007,D14A1S63,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,39
SRR10040013Aligned.sortedByCoord.out.bam,SRR10040013,D14A2B12,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,40
SRR10039999Aligned.sortedByCoord.out.bam,SRR10039999,D14A1S56,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,41
SRR10040008Aligned.sortedByCoord.out.bam,SRR10040008,D14A1S64,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,42
SRR10040006Aligned.sortedByCoord.out.bam,SRR10040006,D14A1S62,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,43
SRR10040012Aligned.sortedByCoord.out.bam,SRR10040012,D14A1S9,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,44
SRR10040011Aligned.sortedByCoord.out.bam,SRR10040011,D14A1S8,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,45
SRR10040001Aligned.sortedByCoord.out.bam,SRR10040001,D14A1S58,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,46
SRR10040005Aligned.sortedByCoord.out.bam,SRR10040005,D14A1S61,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,47
SRR10040010Aligned.sortedByCoord.out.bam,SRR10040010,D14A1S7,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,48
SRR10040004Aligned.sortedByCoord.out.bam,SRR10040004,D14A1S60,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,49
SRR10039998Aligned.sortedByCoord.out.bam,SRR10039998,D14A1S53,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,50
SRR10040000Aligned.sortedByCoord.out.bam,SRR10040000,D14A1S57,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,51
SRR10039997Aligned.sortedByCoord.out.bam,SRR10039997,D14A1S51,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,52
SRR10040009Aligned.sortedByCoord.out.bam,SRR10040009,D14A1S6,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,53
SRR10039996Aligned.sortedByCoord.out.bam,SRR10039996,D14A1S48,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,54
SRR10040002Aligned.sortedByCoord.out.bam,SRR10040002,D14A1S59,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,55
SRR10039995Aligned.sortedByCoord.out.bam,SRR10039995,D14A1S47,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,56
SRR10039994Aligned.sortedByCoord.out.bam,SRR10039994,D14A1S46,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,57
SRR10040003Aligned.sortedByCoord.out.bam,SRR10040003,D14A1S5,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,58
