File,ID,CompID,CompID,Location,uLoc,EmbryoStage,EmbryoID,Carnegie Stage,Annotation,Annotation2,Annotation3,Order,Unique_Reads,%Mapped,%Mapped_to_annotation_base,%Mapped_to_annotation_5kbextended,%Mapped_to_annotation_1kbextended,QC,NoGenes,FinalAverage,All,vsCyno,Table,PreImp,vsCynoMin,PostImp,AllPImp,ForMapping,MapES,SpatialModelPlus,vsCynoClara,SpatialModelPlus2
CME25A7812757Aligned.sortedByCoord.out.bam,CME25A7812757,CME25A7812757,CME25A7812757,P1_E15B_207_AS,Tb_CS5_P1_E15B_207_AS,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,2,3732362,0.8486,0.065389024,0.102373557,0.076061512,1,7231,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812759Aligned.sortedByCoord.out.bam,CME25A7812759,CME25A7812759,CME25A7812759,P1_E15B_207_AU,PGC_CS5_P1_E15B_207_AU,E15,E15B,CS5,PGC_CS5_,PGC_CS5,PGC_CS5,3,3768804,0.8415,0.133927229,0.187440016,0.154071672,1,6812,1,1,1,1,0,0,1,1,1,1,1,1,1
CME25A7812758Aligned.sortedByCoord.out.bam,CME25A7812758,CME25A7812758,CME25A7812758,P1_E15B_207_AT,ExMes_CS5_P1_E15B_207_AT,E15,E15B,CS5,ExMes_CS5_,ExMes_CS5,ExMes_CS5,4,3200763,0.8085,0.177033353,0.240472971,0.203319401,1,8922,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812756Aligned.sortedByCoord.out.bam,CME25A7812756,CME25A7812756,CME25A7812756,P1_E15B_207_AR,Tb_CS5_P1_E15B_207_AR,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,6,1872093,0.5179,0.093057423,0.138700332,0.104896336,1,4864,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812754Aligned.sortedByCoord.out.bam,CME25A7812754,CME25A7812754,CME25A7812754,P1_E15B_207_AP,Tb_CS5_P1_E15B_207_AP,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,8,1402863,0.8708,0.262741564,0.332742811,0.291182262,1,12585,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812745Aligned.sortedByCoord.out.bam,CME25A7812745,CME25A7812745,CME25A7812745,P1_E15B_207_AG,Gland_CS5_P1_E15B_207_AG,E15,E15B,CS5,Gland_CS5_,Gland_CS5,Gland_CS5,9,2360962,0.8736,0.286167464,0.344394624,0.307534119,1,9040,1,1,0,1,0,0,1,1,1,0,0,0,0
CME25A7812755Aligned.sortedByCoord.out.bam,CME25A7812755,CME25A7812755,CME25A7812755,P1_E15B_207_AQ,Tb_CS5_P1_E15B_207_AQ,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,10,4143158,0.8103,0.119317027,0.16505272,0.134277144,1,7172,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812753Aligned.sortedByCoord.out.bam,CME25A7812753,CME25A7812753,CME25A7812753,P1_E15B_207_AO,Tb_CS5_P1_E15B_207_AO,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,11,3041949,0.6633,0.075752946,0.114369053,0.087066495,1,3830,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812751Aligned.sortedByCoord.out.bam,CME25A7812751,CME25A7812751,CME25A7812751,P1_E15B_207_AM,Tb_CS5_P1_E15B_207_AM,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,14,1311298,0.5586,0.115811241,0.159692617,0.13318392,1,5294,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812752Aligned.sortedByCoord.out.bam,CME25A7812752,CME25A7812752,CME25A7812752,P1_E15B_207_AN,Tb_CS5_P1_E15B_207_AN,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,15,2337652,0.8661,0.069863675,0.106983032,0.081761317,1,10116,1,1,1,1,0,1,1,1,1,1,1,1,1
