File,ID,Desc,ID2,ID3,Section,Position,Stage,PosID,Embryo,IsEmb,NotRef,Order
SRR8502184Aligned.sortedByCoord.out.bam,SRR8502184,Stage E7.0 endoderm single cell plate 3G11 cell (E7.0SCVE3-G11),E7.0SCVE3-G11,E7.0SCVE3-G11,sc,Endo,E7.0,scEndo.E7.0,0,0,0,1
SRR8502260Aligned.sortedByCoord.out.bam,SRR8502260,Stage E7.0 endoderm single cell plate 4E3 cell (E7.0SCVE4-E3),E7.0SCVE4-E3,E7.0SCVE4-E3,sc,Endo,E7.0,scEndo.E7.0,0,0,0,2
SRR7984388Aligned.sortedByCoord.out.bam,SRR7984388,Stage E7.0 embryo Ref section 10 region EP (E7.0_Ref_10EP),E7.0_Ref_10EP,10EP.E7.0,10,EP,E7.0,10EP.E7.0,Ref,1,0,3
SRR8502285Aligned.sortedByCoord.out.bam,SRR8502285,Stage E7.0 endoderm single cell plate 4G4 cell (E7.0SCVE4-G4),E7.0SCVE4-G4,E7.0SCVE4-G4,sc,Endo,E7.0,scEndo.E7.0,0,0,0,4
SRR8502298Aligned.sortedByCoord.out.bam,SRR8502298,Stage E7.0 endoderm single cell plate 4H5 cell (E7.0SCVE4-H5),E7.0SCVE4-H5,E7.0SCVE4-H5,sc,Endo,E7.0,scEndo.E7.0,0,0,0,5
SRR8502299Aligned.sortedByCoord.out.bam,SRR8502299,Stage E7.0 endoderm single cell plate 4H6 cell (E7.0SCVE4-H6),E7.0SCVE4-H6,E7.0SCVE4-H6,sc,Endo,E7.0,scEndo.E7.0,0,0,0,6
SRR8502297Aligned.sortedByCoord.out.bam,SRR8502297,Stage E7.0 endoderm single cell plate 4H4 cell (E7.0SCVE4-H4),E7.0SCVE4-H4,E7.0SCVE4-H4,sc,Endo,E7.0,scEndo.E7.0,0,0,0,7
SRR8502300Aligned.sortedByCoord.out.bam,SRR8502300,Stage E7.0 endoderm single cell plate 4H7 cell (E7.0SCVE4-H7),E7.0SCVE4-H7,E7.0SCVE4-H7,sc,Endo,E7.0,scEndo.E7.0,0,0,0,8
SRR8502302Aligned.sortedByCoord.out.bam,SRR8502302,Stage E7.0 endoderm single cell plate 4H9 cell (E7.0SCVE4-H9),E7.0SCVE4-H9,E7.0SCVE4-H9,sc,Endo,E7.0,scEndo.E7.0,0,0,0,9
SRR8502296Aligned.sortedByCoord.out.bam,SRR8502296,Stage E7.0 endoderm single cell plate 4H3 cell (E7.0SCVE4-H3),E7.0SCVE4-H3,E7.0SCVE4-H3,sc,Endo,E7.0,scEndo.E7.0,0,0,0,10
SRR8502293Aligned.sortedByCoord.out.bam,SRR8502293,Stage E7.0 endoderm single cell plate 4H12 cell (E7.0SCVE4-H12),E7.0SCVE4-H12,E7.0SCVE4-H12,sc,Endo,E7.0,scEndo.E7.0,0,0,0,11
SRR8502294Aligned.sortedByCoord.out.bam,SRR8502294,Stage E7.0 endoderm single cell plate 4H1 cell (E7.0SCVE4-H1),E7.0SCVE4-H1,E7.0SCVE4-H1,sc,Endo,E7.0,scEndo.E7.0,0,0,0,12
SRR8502292Aligned.sortedByCoord.out.bam,SRR8502292,Stage E7.0 endoderm single cell plate 4H11 cell (E7.0SCVE4-H11),E7.0SCVE4-H11,E7.0SCVE4-H11,sc,Endo,E7.0,scEndo.E7.0,0,0,0,13
SRR8502295Aligned.sortedByCoord.out.bam,SRR8502295,Stage E7.0 endoderm single cell plate 4H2 cell (E7.0SCVE4-H2),E7.0SCVE4-H2,E7.0SCVE4-H2,sc,Endo,E7.0,scEndo.E7.0,0,0,0,14
SRR8502301Aligned.sortedByCoord.out.bam,SRR8502301,Stage E7.0 endoderm single cell plate 4H8 cell (E7.0SCVE4-H8),E7.0SCVE4-H8,E7.0SCVE4-H8,sc,Endo,E7.0,scEndo.E7.0,0,0,0,15
SRR8502291Aligned.sortedByCoord.out.bam,SRR8502291,Stage E7.0 endoderm single cell plate 4H10 cell (E7.0SCVE4-H10),E7.0SCVE4-H10,E7.0SCVE4-H10,sc,Endo,E7.0,scEndo.E7.0,0,0,0,16
SRR8502288Aligned.sortedByCoord.out.bam,SRR8502288,Stage E7.0 endoderm single cell plate 4G7 cell (E7.0SCVE4-G7),E7.0SCVE4-G7,E7.0SCVE4-G7,sc,Endo,E7.0,scEndo.E7.0,0,0,0,17
SRR8502290Aligned.sortedByCoord.out.bam,SRR8502290,Stage E7.0 endoderm single cell plate 4G9 cell (E7.0SCVE4-G9),E7.0SCVE4-G9,E7.0SCVE4-G9,sc,Endo,E7.0,scEndo.E7.0,0,0,0,18
SRR8502289Aligned.sortedByCoord.out.bam,SRR8502289,Stage E7.0 endoderm single cell plate 4G8 cell (E7.0SCVE4-G8),E7.0SCVE4-G8,E7.0SCVE4-G8,sc,Endo,E7.0,scEndo.E7.0,0,0,0,19
SRR8502286Aligned.sortedByCoord.out.bam,SRR8502286,Stage E7.0 endoderm single cell plate 4G5 cell (E7.0SCVE4-G5),E7.0SCVE4-G5,E7.0SCVE4-G5,sc,Endo,E7.0,scEndo.E7.0,0,0,0,20
SRR8502287Aligned.sortedByCoord.out.bam,SRR8502287,Stage E7.0 endoderm single cell plate 4G6 cell (E7.0SCVE4-G6),E7.0SCVE4-G6,E7.0SCVE4-G6,sc,Endo,E7.0,scEndo.E7.0,0,0,0,21
SRR8502283Aligned.sortedByCoord.out.bam,SRR8502283,Stage E7.0 endoderm single cell plate 4G2 cell (E7.0SCVE4-G2),E7.0SCVE4-G2,E7.0SCVE4-G2,sc,Endo,E7.0,scEndo.E7.0,0,0,0,22
SRR8502284Aligned.sortedByCoord.out.bam,SRR8502284,Stage E7.0 endoderm single cell plate 4G3 cell (E7.0SCVE4-G3),E7.0SCVE4-G3,E7.0SCVE4-G3,sc,Endo,E7.0,scEndo.E7.0,0,0,0,23
