shot,tissue,x,y,z
E25A_161_P,Tb,-107.9074111,861.014091,-212.4727184
E25A_161_Q,Tb,-120.5284297,1083.297627,-211.1887616
E25A_161_R,Tb,-37.8028366,569.8751814,-210.9864583
E25A_161_S,Tb,2.799414615,1151.777431,-240.2189897
E25A_166_I,Tb,-24.58152377,214.9278254,-125.3955975
E25A_166_X,Tb,44.80360772,-222.3829836,-158.6304996
E25A_166_Y,Tb,70.62824197,-711.822617,-121.0537971
E25A_166_Z,Tb,102.6220097,-936.3901594,-130.9161354
E25A_166_AB,Tb,-44.38447324,347.6288449,-137.3364696
E25A_169_AA,Tb,67.40172252,-783.346467,-81.04589526
E25A_169_R,Tb,-86.29610694,744.0075932,-86.86016421
E25A_184_AG,Tb,189.421609,-1135.148085,136.9182947
E25A_184_AH,Tb,218.4612665,-1279.994112,143.1921088
E25A_190_H,Tb,130.3984767,-741.636045,228.234919
E25A_190_I,Tb,-8.821041663,293.5337983,237.0512192
E25A_193_V,Tb,-85.63074957,632.5591177,284.6127065
E25A_193_Y,Tb,-212.167374,885.941833,283.304871
E25A_193_Z,Tb,-54.14041349,851.8819865,301.3801881
E25A_161_A,SYS,-865.0328166,-922.1347329,-358.7990297
E25A_161_B,SYS,-1144.112138,-347.0331671,-179.0463424
E25A_161_C,SYS,-1295.188315,-140.1555225,-305.3699341
E25A_161_I,SYS,-1070.026432,27.50533085,-340.1455653
E25A_166_C,SYS,-604.66333,-596.249451,146.098846
E25A_166_J,SYS,-224.0168651,-199.9366511,-144.1461044
E25A_166_U,SYS,-616.866394,267.532898,-315.098572
E25A_169_AM,SYS,-1063.346292,-173.3064006,-140.5706806
E25A_169_T,SYS,-1089.369628,-595.4352214,-31.72261189
E25A_169_U,SYS,-1023.218848,-786.7360102,27.63314239
E25A_169_V,SYS,-768.0988652,-1076.05883,-78.03156119
E25A_169_W,SYS,-286.1122031,-898.4312676,77.36884479
E25A_169_X,SYS,-237.3923954,-996.5413978,35.6519477
E25A_169_Y,SYS,-98.63271236,-899.9099522,-42.8977508
E25A_169_Z,SYS,-128.3769609,-719.1087595,-85.9439047
E25A_180_A,SYS,-391.2350345,-853.3300202,122.8295435
E25A_180_B,SYS,-521.4269633,-1043.114239,72.20175581
E25A_180_C,SYS,-959.5003594,-1015.565579,38.4265647
E25A_180_D,SYS,-1081.100968,-924.4546015,25.63575071
E25A_161_AD,Am,-966.5569721,504.8689671,-319.0232128
E25A_161_D,Am,-1423.128492,571.9065263,-208.6891339
E25A_161_F,Am,-1173.308547,910.9609743,-231.7180594
E25A_161_H,Am,-790.5483769,1163.454572,-132.5158875
E25A_161_K,Am,-539.2729187,1092.493685,-172.7942261
E25A_161_M,Am,-337.5113237,818.7094768,-197.0646275
E25A_166_H,Am,-293.6130639,642.3145451,-135.7788384
E25A_166_N,Am,-619.3594774,1179.746077,-46.75905337
E25A_166_R,Am,-1033.568546,558.9469551,-309.6809326
E25A_169_A,Am,-170.5131874,607.1348613,-81.69831868
E25A_169_AI,Am,-151.5408435,542.8024869,-62.4284057
E25A_169_B,Am,-205.9688736,710.8739455,-89.00811976
E25A_169_C,Am,-316.55484,968.043762,-74.488708
