shot,tissue,x,y,z
E15B_193_F,Am,14.9945793,13.18443569,-124.9483907
E15B_193_N,Am,-29.57828033,-59.22409692,-127.1879855
E15B_193_O,Am,-44.36210978,-64.02045467,-123.3964198
E15B_193_P,Am,-58.35898342,-43.69950507,-117.7892509
E15B_193_Z,Am,45.74250849,40.28724139,-124.6230056
E15B_198_E,Am,0.190743972,2.156643805,-45.49855498
E15B_198_F,Am,-22.8841074,-5.623567261,-45.83770326
E15B_198_G,Am,-38.04225188,-8.692693624,-45.53655477
E15B_198_T,Am,64.46506097,19.54559214,-45.59327536
E15B_198_AM,Am,-86.98145131,-24.48124104,-33.86630327
E15B_198_AN,Am,-50.83945819,0.880372629,-45.15362304
E15B_204_W,Am,-14.05716652,-0.750334531,49.77860681
E15B_193_W,VE,104.6978614,-29.63931064,-126.8159785
E15B_193_X,VE,146.472218,8.583197292,-125.0873479
E15B_198_C,VE,94.87777412,-78.61522103,-60.95123709
E15B_198_D,VE,54.56762093,-106.2214027,-53.12992294
E15B_198_J,VE,-117.1239583,-71.87730073,-46.70753758
E15B_198_K,VE,-80.20180628,-76.64747236,-41.36206395
E15B_198_L,VE,-70.7099582,-94.9853596,-42.38506591
E15B_198_M,VE,-57.83035713,-115.5150181,-41.61975992
E15B_198_N,VE,-37.77291972,-123.1663177,-43.76680754
E15B_198_O,VE,-12.21085823,-123.0678886,-45.75893465
E15B_198_P,VE,12.22414016,-119.8982943,-48.55072585
E15B_204_A,VE,-103.098132,-136.1857242,51.44601879
E15B_204_C,VE,-143.9418872,-52.17851352,48.81366996
E15B_204_K,VE,28.25730795,-166.2041964,53.11009678
E15B_204_V,VE,-57.22827543,-126.6965561,50.05410815
E15B_204_Y,VE,23.09473375,-120.468229,50.09683742
E15B_204_AE,VE,-166.2151516,-53.41314196,50.25035864
E15B_207_B,VE,-109.3609477,-56.48638192,92.85196368
E15B_207_C,VE,-65.87119228,-98.69935232,91.63910313
E15B_207_D,VE,-8.150043069,-120.6511762,98.9513336
E15B_207_F,VE,109.3389576,-91.51613921,96.76743366
E15B_213_A,VE,60.75193046,-114.1445135,194.6934754
E15B_213_E,VE,106.2918079,-110.3821451,194.0823335
E15B_213_F,VE,17.57789092,-110.2801764,193.8276456
E15B_213_G,VE,-48.3274547,-110.4953621,190.941687
E15B_213_M,VE,-71.09644331,-89.82669834,192.4489463
E15B_193_K,SYS,-145.949051,-98.727356,-106.275352
E15B_198_AC,SYS,-162.2916977,-55.23718897,-39.06911296
E15B_198_AD,SYS,-176.4668359,-58.37772719,-37.56005011
E15B_198_AF,SYS,-188.9035981,-75.69626368,-44.88754139
E15B_204_H,SYS,-191.5827335,-101.2626019,61.89640291
E15B_204_AV,SYS,-165.7012083,-153.2144497,47.91642431
E15B_207_Q,SYS,-203.3281452,-98.94111787,101.5314352
E15B_207_R,SYS,-218.0377101,-125.2639243,96.23748337
E15B_193_L,ExMes,-124.5278558,-49.12089877,-120.7827346
E15B_193_S,ExMes,-192.8137648,-56.34624091,-124.7070869
E15B_193_AA,ExMes,112.7811724,32.25387017,-123.5011719
E15B_193_AB,ExMes,17.49323868,36.78202241,-128.9760034
E15B_193_AD,ExMes,-145.2695026,-48.89884768,-125.8571075
E15B_198_B,ExMes,138.9337618,47.92229631,-46.56011643
E15B_198_AK,ExMes,-284.397095,-7.680407,-34.928703
E15B_198_AL,ExMes,-155.9266127,-10.75564319,-45.34568108
E15B_198_AS,ExMes,-256.5378239,-11.13257443,-40.00814839
E15B_198_AT,ExMes,-285.2177399,-12.12831416,-32.30111076
E15B_204_S,ExMes,-193.7782001,-2.215061685,49.04077466
E15B_204_AA,ExMes,126.1586213,-22.45867983,44.38431318
E15B_204_AC,ExMes,12.00896444,19.41193016,49.67690014
E15B_204_AF,ExMes,-219.8539237,1.97363599,47.38390777
E15B_204_AK,ExMes,-148.0457196,6.083166921,50.93363513
E15B_204_AT,ExMes,-242.0960266,-42.77820028,39.13678342
E15B_204_AU,ExMes,-301.0723938,-8.33653998,47.53323201
E15B_207_M,ExMes,9.298466156,19.53028009,97.03885892
E15B_207_O,ExMes,-158.6905232,-48.46582012,96.95402454
E15B_207_P,ExMes,-73.00192725,10.21764818,95.654534
E15B_207_V,ExMes,6.230041892,29.53074437,95.97092816
E15B_207_AT,ExMes,-197.369313,-56.54760042,97.14493997
E15B_207_AV,ExMes,166.5030903,-38.20974571,95.08546042
E15B_213_R,ExMes,-18.94094625,8.70594084,194.9199237
E15B_213_S,ExMes,96.22878581,-1.964947668,191.9065457
E15B_213_T,ExMes,139.3953571,-19.54261186,195.3972463
E15B_213_AD,ExMes,-122.6578495,-45.68871049,189.9249796
E15B_213_AI,ExMes,-60.26197794,35.94298059,189.0510306
E15B_193_G,EmDisc,82.49139896,27.28003316,-125.2359857
E15B_193_U,EmDisc,35.57149205,-74.03627855,-123.5076545
E15B_193_V,EmDisc,32.13864068,-15.78140975,-123.3365141
E15B_193_Y,EmDisc,109.0085488,8.431919186,-125.1655806
E15B_198_H,EmDisc,-52.85045145,-41.77141158,-43.30254652
E15B_198_Q,EmDisc,108.1595811,-28.55129783,-46.56901612
E15B_198_R,EmDisc,121.5836175,-3.205155265,-48.0298335
E15B_198_S,EmDisc,118.3412251,13.62423033,-47.94731459
E15B_198_U,EmDisc,33.48581911,-16.34119156,-51.86116574
E15B_198_V,EmDisc,49.68223258,-20.55674336,-43.9412758
E15B_198_W,EmDisc,37.362282,-25.760759,-37.316319
E15B_198_X,EmDisc,-24.6688022,-47.56716902,-45.81565531
E15B_198_Y,EmDisc,-47.47558171,-94.06436868,-58.27381702
E15B_198_Z,EmDisc,-16.18957608,-111.8522623,-50.00642419
E15B_198_AA,EmDisc,-69.97777941,-74.02890245,-53.45778903
E15B_198_AB,EmDisc,-96.03112884,-51.82061081,-43.88471526
E15B_204_B,EmDisc,-110.6448618,-52.5316234,49.80863557
E15B_204_D,EmDisc,-68.63730068,-27.06048958,50.08056451
E15B_204_E,EmDisc,-28.57695857,-30.80677962,42.25556394
E15B_204_F,EmDisc,-31.08299939,-116.4080091,55.27418541
E15B_204_G,EmDisc,-124.915604,-34.56023,52.523098
E15B_204_L,EmDisc,-73.18901122,-88.18256242,46.72595376
E15B_204_U,EmDisc,-81.10934812,-80.41692298,52.67745388
E15B_204_X,EmDisc,46.14769849,-29.15950742,44.25089116
E15B_204_Z,EmDisc,51.73390772,-102.3391588,51.01374488
E15B_204_AB,EmDisc,75.16614818,-2.524346478,48.9007748
E15B_207_G,EmDisc,-38.15571653,-98.80309973,101.5843662
E15B_207_H,EmDisc,31.20621244,-12.09733909,104.9242495
E15B_207_I,EmDisc,76.54016734,-28.47614971,100.3015081
E15B_207_J,EmDisc,125.9285394,-44.82209396,93.17130354
E15B_207_K,EmDisc,-70.11731906,-77.20924832,105.1144079
E15B_207_L,EmDisc,-91.43376951,-57.32100079,103.0649387
E15B_213_B,EmDisc,73.8535805,-79.61204944,191.5436301
E15B_213_C,EmDisc,13.35888563,-73.86234289,192.1149046
E15B_213_D,EmDisc,-26.75173817,-68.02563691,190.8061284
E15B_213_O,EmDisc,76.89463802,-30.72201352,192.0432044
E15B_213_P,EmDisc,9.279098005,-24.73227531,193.8855753
E15B_213_Q,EmDisc,-46.58483732,-40.04785514,187.7364024
E15B_193_B,Tb,-78.50819314,24.84672255,-122.104124
E15B_193_C,Tb,-158.5547936,38.83092228,-118.9472251
E15B_193_E,Tb,-24.7668325,31.13549809,-124.0715815
E15B_193_H,Tb,-111.1287905,27.50676068,-109.9407177
E15B_193_T,Tb,-150.0656345,36.28559694,-113.0567391
E15B_193_AC,Tb,-52.34544639,23.11205328,-124.6714283
E15B_193_AF,Tb,51.05751472,64.97470244,-131.5890418
E15B_193_AG,Tb,35.2050832,58.53749538,-128.313129
E15B_193_AH,Tb,180.0503562,71.89970549,-119.285152
E15B_193_AI,Tb,196.7101266,67.58088428,-131.2518007
E15B_193_AJ,Tb,200.1783604,140.5908182,-126.3859839
E15B_193_AK,Tb,88.9725252,143.7424458,-96.55001138
E15B_193_AM,Tb,24.23995563,54.02799003,-128.6887631
E15B_193_AN,Tb,26.331233,58.05941801,-136.8787037
E15B_193_AQ,Tb,-8.999684687,38.97054781,-128.8184066
E15B_198_AP,Tb,169.5404384,55.15854918,-45.12946456
E15B_198_AQ,Tb,88.71075915,83.91367358,-44.38823832
E15B_198_AR,Tb,164.0109123,127.5187644,-44.59388247
E15B_204_M,Tb,-178.5240702,61.27498353,49.41439103
E15B_204_N,Tb,-106.7064377,51.54074184,52.4736527
E15B_204_O,Tb,-93.4286693,130.9370588,53.70343183
E15B_204_AD,Tb,-15.66976401,48.85823599,48.19349798
E15B_204_AG,Tb,167.6120955,31.74099787,49.8626832
E15B_204_AH,Tb,98.0723474,49.28962356,55.95950737
E15B_204_AL,Tb,221.8084799,83.01411893,45.72670141
E15B_207_U,Tb,-100.8284756,42.87448257,104.7512895
E15B_207_W,Tb,151.9958375,19.87086911,98.94309355
E15B_207_AI,Tb,260.1179845,-46.41074679,108.411331
E15B_207_AJ,Tb,213.4362332,-1.381362599,88.11820126
E15B_207_AK,Tb,266.1862766,37.84181918,109.404953
E15B_207_AL,Tb,202.3927624,-8.496479408,100.732224
E15B_207_AM,Tb,212.091019,-23.802906,111.703621
E15B_207_AN,Tb,246.1873081,-21.53654059,93.1616038
E15B_207_AO,Tb,148.2567228,75.98724364,112.0898665
E15B_207_AQ,Tb,-154.6273379,18.68440847,95.24560565
E15B_207_AR,Tb,-177.5149456,6.277714684,107.9562083
E15B_207_AS,Tb,-174.618906,3.834201522,96.26113323
E15B_207_AU,Tb,172.5509619,-1.629351128,115.8742938
E15B_213_U,Tb,88.43172359,44.87883918,191.5056198
E15B_213_AF,Tb,-236.3188113,-16.95558644,186.0095474
E15B_213_AG,Tb,-182.4333813,36.17473093,199.9131895
E15B_213_AH,Tb,-124.5719576,48.49841529,208.9463646
E15B_213_AJ,Tb,-149.1958585,83.62851307,204.5437458
E15B_213_AK,Tb,-52.70789091,131.4661349,194.7386788
E15B_213_AQ,Tb,-252.2931145,37.4498486,204.5616071
E15B_213_AS,Tb,-308.064487,37.62904145,189.3861368
