shot,tissue,x,y,z
E15C1_206_AC,Am,21.13058676,-187.011775,-43.41410364
E15C1_206_E,Am,91.64279994,50.80452912,-57.69048975
E15C1_206_F,Am,88.66410333,90.95263679,-56.83949973
E15C1_206_G,Am,85.04774377,118.4081192,-55.58496272
E15C1_206_H,Am,63.87874708,171.9620703,-66.64913459
E15C1_206_I,Am,-2.259881028,202.2317736,-62.41536548
E15C1_206_J,Am,-15.18312916,208.343316,-59.65165207
E15C1_206_Z,Am,66.45643409,-118.4425487,-54.57669422
E15C1_198_AP,Am,25.90553862,78.43322299,-178.7446982
E15C1_208_T,Am,91.45231547,80.80835689,-21.82891729
E15C1_208_U,Am,86.44510412,122.7631317,-21.99919828
E15C1_208_W,Am,71.02742723,201.1785859,-19.33395197
E15C1_210_H,Am,90.64661089,105.5555444,10.0619085
E15C1_210_S,Am,93.33327574,-15.51590077,10.59642751
E15C1_210_T,Am,95.02921672,48.70889635,12.9600128
E15C1_210_U,Am,90.14092382,69.64856856,12.38842246
E15C1_212_AB,Am,91.28756845,140.0565316,36.50553138
E15C1_212_AD,Am,62.19737701,206.341689,41.59084097
E15C1_212_AE,Am,-12.86049024,228.7177613,39.9601027
E15C1_212_U,Am,85.86478099,-28.38556557,43.36253946
E15C1_220_AC,Am,48.72940027,-162.7609104,178.2189653
E15C1_220_J,Am,89.84032232,-56.99267191,173.3012725
E15C1_220_K,Am,96.75651051,-15.88351386,174.3535346
E15C1_220_M,Am,90.03423124,55.20883418,167.5500628
E15C1_220_N,Am,74.35154549,98.93313022,168.7481898
E15C1_220_O,Am,69.71656402,107.4864727,172.361267
E15C1_220_P,Am,54.43044906,130.6581741,166.2124899
E15C1_206_AA,EmDisc,23.07631108,-154.8765794,-53.62470365
E15C1_206_AB,EmDisc,-18.77601509,-152.5321968,-57.53087542
E15C1_206_AD,EmDisc,-19.37484923,-184.6499133,-45.88653396
E15C1_206_M,EmDisc,-55.75384395,157.3573168,-53.88996332
E15C1_206_N,EmDisc,-53.84064204,123.9403251,-54.68758528
E15C1_206_O,EmDisc,-48.88220142,82.73001604,-58.27747064
E15C1_206_P,EmDisc,-35.808081,42.70269068,-56.61411216
E15C1_206_Q,EmDisc,12.61879687,23.32656444,-50.1179499
E15C1_206_R,EmDisc,24.26648555,-11.37748555,-51.44826748
E15C1_206_S,EmDisc,31.53517039,-43.79207395,-53.07081992
E15C1_206_T,EmDisc,32.5508756,-50.59346845,-56.05933833
E15C1_206_W,EmDisc,33.97699092,-80.39783136,-53.40781803
E15C1_206_Y,EmDisc,32.70138186,-115.1720963,-52.79852849
E15C1_198_AQ,EmDisc,29.15289233,-64.56917918,-180.6908569
E15C1_198_S,EmDisc,13.8661468,40.27111234,-182.7490009
E15C1_208_AP,EmDisc,-57.74171554,57.73051781,-24.30285321
E15C1_208_AS,EmDisc,-33.76407474,-167.3988634,-19.818732
E15C1_208_E,EmDisc,-6.226288766,137.9366986,-22.71322313
E15C1_208_F,EmDisc,-7.831016532,98.66686663,-21.60792433
E15C1_208_G,EmDisc,-0.193863265,65.35897333,-22.14766691
E15C1_208_H,EmDisc,9.532634254,37.70470249,-22.09071858
E15C1_208_I,EmDisc,17.98960196,10.21179681,-26.96672084
E15C1_208_J,EmDisc,32.5494189,-25.88147848,-26.46888478
E15C1_208_K,EmDisc,37.5978134,-82.17871733,-26.95584052
E15C1_208_L,EmDisc,-22.0000678,-114.8035844,-29.76832748
E15C1_208_O,EmDisc,35.649593,-19.800903,-13.122613
E15C1_208_Z,EmDisc,-62.34157106,137.2449575,-26.85485748
E15C1_210_AD,EmDisc,-18.51247098,-68.16487675,12.46872653
E15C1_210_AG,EmDisc,40.2704313,-111.6926561,9.319666973
E15C1_210_AH,EmDisc,29.60306847,-187.8291943,9.34191498
E15C1_210_AL,EmDisc,-32.4157607,-205.5358926,13.91321523
E15C1_210_E,EmDisc,-18.32258367,185.0974192,-1.625305196
E15C1_210_F,EmDisc,-10.27192404,196.6121337,-14.00952913
E15C1_210_V,EmDisc,7.389958469,63.25896485,8.976835371
E15C1_210_W,EmDisc,-68.09117843,89.13889231,11.41369985
E15C1_210_X,EmDisc,-20.53594522,169.1027102,15.23782047
E15C1_212_P,EmDisc,-42.90151676,193.9036212,43.54594676
E15C1_212_Q,EmDisc,-16.33981385,124.817014,42.31131435
E15C1_212_R,EmDisc,9.861575754,53.57241289,45.75221509
E15C1_212_S,EmDisc,-18.45485343,-192.8476832,39.80497007
E15C1_212_W,EmDisc,21.79583353,16.95218612,46.85677652
E15C1_212_X,EmDisc,-16.20332431,-52.19713152,44.48559681
E15C1_212_Y,EmDisc,41.57771638,-73.8795906,39.85402693
E15C1_220_AD,EmDisc,28.64296794,-190.5378185,169.3923966
E15C1_220_AE,EmDisc,26.81578536,-226.9702915,167.291152
E15C1_220_B,EmDisc,-99.41780004,119.0476376,167.6322273
E15C1_220_C,EmDisc,-44.46450658,131.5403693,172.0248245
E15C1_220_D,EmDisc,3.238247898,87.19197432,165.6640772
E15C1_220_E,EmDisc,9.884661702,49.88145926,168.8961841
E15C1_220_F,EmDisc,14.9478966,6.006576159,168.8351812
