shot,tissue,x,y,z
240_O,EmDisc,77.34679631,168.336118,-66.00995569
240_S,EmDisc,68.07430589,-71.71231307,-52.69253629
240_W,EmDisc,-70.33619085,-117.4296642,-80.64818277
240_AA,EmDisc,-160.4335196,-231.3952708,-48.97252262
240_AC,EmDisc,-141.7268551,-204.5595079,-79.56407459
243_S,EmDisc,83.09896409,152.1323969,-17.85020232
243_U,EmDisc,73.13859586,93.43912962,-19.02008944
243_W,EmDisc,34.88475386,30.61470047,-12.95387159
243_Y,EmDisc,-44.90045333,-29.94756472,-16.74096602
243_AA,EmDisc,-104.8745794,-94.93724327,-32.96500399
243_AS,EmDisc,-40.62123585,-168.2174,-13.94894479
246_O,EmDisc,-97.47675239,-289.0223955,18.8460524
246_AU,EmDisc,-173.3276546,-237.2475166,37.42544618
246_AW,EmDisc,-104.2238622,-37.94959738,22.22756373
246_AY,EmDisc,65.71425079,-11.16600433,39.19867086
249_G,EmDisc,189.9378987,186.9246801,78.0170553
249_Q,EmDisc,140.3086662,110.6883262,82.41859267
249_Y,EmDisc,-34.88430079,-37.86726972,71.05765483
249_AG,EmDisc,-62.33423523,-116.9992244,89.07496115
252_M,EmDisc,-101.3980891,-102.5310006,125.1645134
252_O,EmDisc,-20.06089974,-59.78244442,123.414989
252_Q,EmDisc,-40.63373575,61.73864258,123.5828005
252_S,EmDisc,85.4064088,116.1621383,151.1017428
252_AQ,EmDisc,192.758711,128.1184414,125.7821104
255_R,EmDisc,39.05481976,8.172012614,167.687384
255_T,EmDisc,75.26254412,124.3220406,163.5841928
255_V,EmDisc,167.8392314,184.766575,177.3166388
255_X,EmDisc,228.1126115,208.4129101,165.5071331
237_T,EmDisc,-66.58691124,-140.0074748,-113.3776178
237_V,EmDisc,-37.16465296,-90.92822039,-112.2452276
249_AE,EmDisc,-100.4106941,-194.6555185,79.78744975
237_R,EmDisc,-90.17429993,-197.1092744,-108.6138405
240_Q,EmDisc,52.76321701,94.12493991,-48.70563689
249_O,EmDisc,23.68151553,68.25560329,79.79172649
237_AB,EmDisc,68.3231856,41.18527577,-118.9655727
234_O,EmDisc,46.19044473,47.89752634,-163.2227507
237_X,EmDisc,-1.634026194,-31.20494903,-113.7309519
237_Z,EmDisc,18.88240183,18.03622706,-120.2323468
234_N,EmDisc,1.453417684,-32.53849464,-168.95495
234_P,EmDisc,68.10280088,89.3625368,-156.2250162
240_B,EmDisc,20.17253612,15.74444802,-59.95183045
240_P,EmDisc,57.46941246,131.4662019,-51.95449315
240_R,EmDisc,41.20731816,56.05528742,-49.04829333
240_T,EmDisc,30.18512065,-119.5138823,-46.82698776
240_AB,EmDisc,-153.6541587,-231.9966597,-59.97301416
243_R,EmDisc,95.24094225,188.9549166,-18.30605343
243_T,EmDisc,79.4323714,121.6955476,-16.21411897
243_V,EmDisc,56.35325906,58.03899147,-20.75652721
243_X,EmDisc,1.391800359,0.836366119,-14.21140091
243_Z,EmDisc,-78.55386645,-57.00964665,-18.80075239
243_AB,EmDisc,-77.20528787,-167.4824628,15.07722743
243_AR,EmDisc,-6.61621564,-119.4645516,-25.36118499
246_AP,EmDisc,104.3765127,185.1162889,15.32158858
246_AV,EmDisc,-194.144472,-117.9087738,31.07486816
246_AX,EmDisc,-3.933685421,-23.59320979,39.59273404
246_AZ,EmDisc,132.047251,28.6400928,25.97129323
249_H,EmDisc,199.8450921,215.1675638,88.33342156
249_P,EmDisc,160.265808,125.926041,79.275658
249_R,EmDisc,116.0574639,100.7948645,85.42593828
249_Z,EmDisc,-116.9844872,-44.79754632,88.25562663
252_N,EmDisc,-34.08735095,-97.42481823,111.3625499
252_P,EmDisc,-69.13432606,19.55670649,131.8185053
252_R,EmDisc,6.729039799,83.76210967,127.9906628
252_T,EmDisc,133.4092566,128.6817227,129.2391218
252_AR,EmDisc,215.6593683,158.011968,127.1645718
255_I,EmDisc,55.13884946,116.2563987,176.3810239
255_S,EmDisc,77.03860856,45.33437028,170.2298483
255_U,EmDisc,125.736309,149.4772718,184.2669393
255_W,EmDisc,204.9203665,209.3344234,178.4985044
255_AQ,EmDisc,24.62804853,-57.35014038,173.8831691
237_G,EmDisc,28.76955566,65.60681135,-112.5600543
237_S,EmDisc,-75.73990034,-164.9892686,-117.9285672
237_U,EmDisc,-50.00791219,-114.3672368,-112.5825618
237_W,EmDisc,-20.15783244,-60.19138998,-112.3395071
237_Y,EmDisc,18.15753758,7.46715859,-112.3763996
240_AK,PGC,117.969284,182.003448,-55.787773
243_O,PGC,18.979815,245.172272,-21.274969
243_Q,PGC,74.37600928,228.1661647,-17.68896903
246_AK,PGC,180.0838215,183.3645214,30.08505852
246_AM,PGC,131.239548,186.750458,22.949739
237_D,PGC,59.688396,177.190918,-61.465961
237_F,PGC,67.398209,169.917526,-59.504349
237_BJ,PGC,61.882324,176.375458,-63.341564
240_N,PGC,44.6547848,191.3458589,-54.21385628
240_AJ,PGC,114.092421,177.3542585,-49.315709
243_P,PGC,45.58859534,241.6679236,-17.66114245
246_AN,PGC,145.1700419,197.7731652,27.91248563
246_AR,PGC,51.93985517,231.2646322,-6.181919742
237_AA,PGC,71.254982,170.147186,-62.810699
237_AC,PGC,88.444939,180.109818,-81.477737
240_AO,SYS,173.9558022,-66.55011785,-71.69532121
243_AM,SYS,238.4138387,86.65979518,-33.41436965
243_AO,SYS,166.4385757,-17.20354581,-54.55226297
246_Q,SYS,36.04487284,-284.3329498,28.82670544
246_U,SYS,223.6811656,-73.14950064,30.48665778
252_AC,SYS,190.4324627,-169.3500096,124.0131105
252_AE,SYS,284.908173,-128.71048,135.044495
252_AK,SYS,315.1904104,104.3125415,127.3109024
255_AH,SYS,344.0888045,119.1264455,171.4901091
255_AN,SYS,378.1707125,26.95408034,172.5379073
255_AP,SYS,211.6051571,-68.07655362,204.9528036
258_D,SYS,305.9328976,37.4412718,203.9125129
252_AG,SYS,346.5659282,-67.9252552,138.0071087
252_AI,SYS,362.6455637,12.48664485,128.6306143
240_AN,SYS,216.7399952,-31.12135064,-70.79409024
243_AN,SYS,186.2068197,28.60694886,-56.66653174
243_AT,SYS,115.5675501,-117.8194231,-59.83717888
246_T,SYS,167.5978853,-144.6974603,29.99543341
246_V,SYS,242.4771854,-14.26683948,30.49134603
246_AH,SYS,228.7339326,108.7026754,23.66423926
249_AF,SYS,109.5032566,-71.51396367,159.079357
252_AB,SYS,86.72991355,-170.751162,117.7331173
252_AF,SYS,324.6530593,-94.43113954,135.1262635
252_AH,SYS,364.9012432,-14.04206596,139.6899757
252_AJ,SYS,345.3264324,56.56841834,121.7865155
255_AO,SYS,278.2347005,-53.72955227,202.5624043
258_C,SYS,276.9953126,-117.6448434,189.5467754
240_AG,VE,137.7632754,-26.80952302,-72.66649618
240_AI,VE,137.2589744,105.7402763,-65.32844083
243_AC,VE,60.13620986,-49.24067195,-14.71955255
243_AE,VE,102.8652807,-9.681815026,-16.90448047
243_AG,VE,141.2276752,54.16756933,-17.47996906
243_AI,VE,151.771011,139.772186,-9.60277
246_W,VE,169.0574947,54.53172752,36.34521606
246_BA,VE,-10.98330693,-135.701513,3.681342334
252_U,VE,29.41272204,2.868504689,125.1860445
252_W,VE,143.1037561,65.40701543,121.7269412
252_Y,VE,250.4686589,101.0792891,132.6372449
252_AO,VE,38.962746,16.045523,123.671623
255_AF,VE,264.535431,161.436523,169.415329
237_AN,VE,10.22246162,-139.9716737,-114.3978474
237_AP,VE,73.59794504,-16.29724815,-110.5706499
249_AC,VE,-14.36928679,-53.27941416,76.55522001
234_C,VE,79.030701,66.282555,-130.923828
240_AE,VE,122.2927769,-93.76397077,-65.31225313
240_AD,VE,97.50109059,-124.473734,-64.99946993
240_AH,VE,120.0340518,25.06020346,-61.48132566
243_AD,VE,83.688546,-32.78425701,-13.69235422
243_AF,VE,125.7628578,18.24443982,-17.72712066
243_AH,VE,146.9605278,99.45662187,-17.05689705
243_AJ,VE,152.5130462,168.9407686,-13.76602039
246_AL,VE,171.6533086,117.960104,27.15671262
246_BB,VE,98.21746308,-97.62485217,37.30478359
249_AD,VE,70.0211757,-78.62462652,79.63663197
252_V,VE,82.66766267,36.18996059,125.9806708
252_X,VE,185.458567,94.69422412,112.8932883
252_Z,VE,88.5145502,-79.50673313,118.7576907
252_AP,VE,73.79921139,34.53968102,133.5694466
255_AA,VE,107.7564468,-32.88339448,170.0581967
255_AE,VE,248.2853572,134.4329084,188.9278967
237_AM,VE,45.45066492,-82.87685513,-108.9787443
234_E,Am,-116.3508899,59.51488752,-159.2662049
234_M,Am,-31.30200097,-98.57250194,-160.2617563
240_C,Am,-171.013503,-97.22735138,-65.07185656
240_E,Am,-138.80146,-30.83699913,-64.37186229
240_G,Am,-109.182836,34.32462169,-65.40582299
240_K,Am,-51.77240279,161.8403339,-69.4397226
240_Y,Am,-174.1388804,-105.8185247,-65.41311977
