,V1,V2,V3,V4
CME25A7812760Aligned.sortedByCoord.out.bam,P1_E15B_207_AV,CS5,ExMes_CS5,1
CME25A7812757Aligned.sortedByCoord.out.bam,P1_E15B_207_AS,CS5,Tb_CS5,1
CME25A7812759Aligned.sortedByCoord.out.bam,P1_E15B_207_AU,CS5,Tb_CS5_VE,1
CME25A7812758Aligned.sortedByCoord.out.bam,P1_E15B_207_AT,CS5,ExMes_CS5_Tb,1
CME25A7812756Aligned.sortedByCoord.out.bam,P1_E15B_207_AR,CS5,Tb_CS5,1
CME25A7812754Aligned.sortedByCoord.out.bam,P1_E15B_207_AP,CS5,ReGland_CS5,1
CME25A7812745Aligned.sortedByCoord.out.bam,P1_E15B_207_AG,CS5,Gland_CS5,1
CME25A7812755Aligned.sortedByCoord.out.bam,P1_E15B_207_AQ,CS5,Tb_CS5_ExMes,1
CME25A7812753Aligned.sortedByCoord.out.bam,P1_E15B_207_AO,CS5,Tb_CS5,1
CME25A7812750Aligned.sortedByCoord.out.bam,P1_E15B_207_AL,CS5,Tb_CS5,1
CME25A7812747Aligned.sortedByCoord.out.bam,P1_E15B_207_AI,CS5,Tb_CS5_ExMes,1
CME25A7812751Aligned.sortedByCoord.out.bam,P1_E15B_207_AM,CS5,Tb_CS5,1
CME25A7812752Aligned.sortedByCoord.out.bam,P1_E15B_207_AN,CS5,Tb_CS5,1
CME25A7812746Aligned.sortedByCoord.out.bam,P1_E15B_207_AH,CS5,Gland_CS5_Stroma,1
CME25A7812748Aligned.sortedByCoord.out.bam,P1_E15B_207_AJ,CS5,Tb_CS5,1
CME25A7812744Aligned.sortedByCoord.out.bam,P1_E15B_207_AF,CS5,Gland_CS5_Stroma,1
CME25A7812742Aligned.sortedByCoord.out.bam,P1_E15B_207_AD,CS5,Gland_CS5_Stroma,1
CME25A7812743Aligned.sortedByCoord.out.bam,P1_E15B_207_AE,CS5,Gland_CS5,1
CME25A7812715Aligned.sortedByCoord.out.bam,P1_E15B_207_C,CS5,VE_CS5,1
CME25A7812741Aligned.sortedByCoord.out.bam,P1_E15B_207_AC,CS5,Gland_CS5,1
CME25A7812740Aligned.sortedByCoord.out.bam,P1_E15B_207_AB,CS5,Gland_CS5,1
CME25A7812717Aligned.sortedByCoord.out.bam,P1_E15B_207_E,CS5,F_CS5,1
CME25A7812739Aligned.sortedByCoord.out.bam,P1_E15B_207_AA,CS5,ReGland_CS5,1
CME25A7812738Aligned.sortedByCoord.out.bam,P1_E15B_207_Z,CS5,ReStroma_CS5,1
CME25A7812737Aligned.sortedByCoord.out.bam,P1_E15B_207_Y,CS5,Tb_CS5,1
CME25A7812724Aligned.sortedByCoord.out.bam,P1_E15B_207_L,CS5,EmDisc_CS5,1
CME25A7812734Aligned.sortedByCoord.out.bam,P1_E15B_207_V,CS5,ExMes_CS5_Tb,1
CME25A7812730Aligned.sortedByCoord.out.bam,P1_E15B_207_R,CS5,SYS_CS5,1
CME25A7812735Aligned.sortedByCoord.out.bam,P1_E15B_207_W,CS5,Tb_CS5_ExMes,1
CME25A7812729Aligned.sortedByCoord.out.bam,P1_E15B_207_Q,CS5,SYS_CS5,1
CME25A7812726Aligned.sortedByCoord.out.bam,P1_E15B_207_N,CS5,Am_CS5_EmDiscExMes,1
CME25A7812733Aligned.sortedByCoord.out.bam,P1_E15B_207_U,CS5,Tb_CS5_ExMes,1
CME25A7812727Aligned.sortedByCoord.out.bam,P1_E15B_207_O,CS5,ExMes_CS5,1
CME25A7812725Aligned.sortedByCoord.out.bam,P1_E15B_207_M,CS5,ExMes_CS6_AmEmDisc,1
CME25A7812728Aligned.sortedByCoord.out.bam,P1_E15B_207_P,CS5,ExMes_CS5_AmEmDisc,1
CME25A7812716Aligned.sortedByCoord.out.bam,P1_E15B_207_D,CS5,VE_CS5,1
CME25A7812722Aligned.sortedByCoord.out.bam,P1_E15B_207_J,CS5,EmDisc_CS5,1
CME25A7812723Aligned.sortedByCoord.out.bam,P1_E15B_207_K,CS5,EmDisc_CS5,1
CME25A7812714Aligned.sortedByCoord.out.bam,P1_E15B_207_B,CS5,VE_CS5,1
CME25A7812718Aligned.sortedByCoord.out.bam,P1_E15B_207_F,CS5,VE_CS5,1
CME25A7812720Aligned.sortedByCoord.out.bam,P1_E15B_207_H,CS5,EmDisc_CS5,1
CME25A7812721Aligned.sortedByCoord.out.bam,P1_E15B_207_I,CS5,EmDisc_CS5,1
CME25A7812710Aligned.sortedByCoord.out.bam,P1_E15B_193_AS,CS5,Gland_CS5_Tb,1
CME25A7812719Aligned.sortedByCoord.out.bam,P1_E15B_207_G,CS5,EmDisc_CS5,1
CME25A7812709Aligned.sortedByCoord.out.bam,P1_E15B_193_AR,CS5,Gland_CS5,1
