x,y,z,shot,tissue
-91.1000036582107,801.546408444991,-214.846373736884,E25A_161_P,Tb
-120.562325744521,1083.62453835018,-210.348830393974,E25A_161_Q,Tb
-29.4697185507872,517.871929422097,-209.081553568452,E25A_161_R,Tb
5.57248501982039,1147.91827099113,-238.689556734875,E25A_161_S,Tb
-16.2992768727671,166.153048434504,-220.108088547913,E25A_161_AE,Tb
-24.7382497250249,215.552669567371,-125.160683491429,E25A_166_I,Tb
43.9473034983068,-188.960991638458,-151.589639340352,E25A_166_J,Tb
44.8674417441331,-223.092015695369,-158.692716040139,E25A_166_X,Tb
72.1919034913512,-719.043221749995,-121.110256094357,E25A_166_Y,Tb
-44.3800610804865,347.695714044872,-137.402297844802,E25A_166_AB,Tb
-53.1391407408943,382.459709781406,-83.786681660307,E25A_169_Q,Tb
67.6586844642075,-777.724619769727,-81.222076790165,E25A_169_AA,Tb
115.795334586622,-865.541722138723,74.1346398364148,E25A_180_W,Tb
192.03317148245,-1143.71184839931,136.501499325943,E25A_184_AG,Tb
217.806797455477,-1277.2774751708,142.552287238031,E25A_184_AH,Tb
47.9086684627062,-90.9286456677983,238.800248357742,E25A_193_O,Tb
-10.4501674000255,316.078283608985,268.178620538913,E25A_193_R,Tb
-85.6307495738142,632.559117730088,284.612706457041,E25A_193_V,Tb
-212.167374,885.941833,283.304871,E25A_193_Y,Tb
-54.1404134885909,851.881986548938,301.38018811648,E25A_193_Z,Tb
-857.955434937504,-931.586383865691,-348.988809031882,E25A_161_A,SYS
-1138.78500067814,-346.482204793907,-177.235024152936,E25A_161_B,SYS
-1293.9440702042,-143.21231158771,-300.691192987062,E25A_161_C,SYS
-1071.31141396268,28.8178634408121,-344.445088427837,E25A_161_I,SYS
-605.294312,-596.126709,146.116852,E25A_166_C,SYS
-582.444023149201,272.985583444742,-305.482797540859,E25A_166_U,SYS
-147.323901812498,-727.234509795269,-110.926286329494,E25A_166_W,SYS
-1062.42266477155,-99.0245803874053,-184.32624530507,E25A_166_AG,SYS
-1073.76199332228,-513.260958612007,-61.7418067977622,E25A_169_T,SYS
-1023.46103034126,-783.798820765429,27.9878737246042,E25A_169_U,SYS
-786.571585778713,-1071.78232065129,-76.7095821510135,E25A_169_V,SYS
-279.598515683057,-906.083790152871,73.6701450232806,E25A_169_W,SYS
-226.966698088913,-992.539672148961,32.8371132211234,E25A_169_X,SYS
-128.886402738574,-717.113779283458,-86.4098852485942,E25A_169_Z,SYS
