x,y,z,shot,tissue
53.64613652,121.2743181,-258.5512838,229_A,ExMes
-16.06814253,-7.4738175,-281.9851602,229_C,ExMes
52.36782789,23.77553082,-282.769347,229_D,ExMes
77.04172849,65.54760372,-269.4761483,229_E,ExMes
88.04350302,107.8064791,-261.6757864,229_F,ExMes
99.2967956,-17.78338812,-284.5611927,229_I,ExMes
122.2773341,80.81147699,-255.5633206,229_K,ExMes
126.5456486,123.0418119,-243.1886619,229_L,ExMes
-43.4991969,-196.2189825,-257.9157883,229_M,ExMes
-18.23333167,-174.579153,-270.8019738,229_N,ExMes
85.39818711,162.8753202,-187.9913627,234_AB,ExMes
154.0784223,199.8186794,-183.5828876,234_AD,ExMes
137.9060106,82.53223851,-173.7374047,234_AE,EmDisc
212.013153,51.381416,-111.428261,234_AE,PGC
134.7693692,126.3949141,-193.6933159,234_AE,SYS
157.427399,88.524078,-163.676804,234_AF,EmDisc
214.0196226,54.25056419,-109.5265517,234_AF,PGC
148.023442,127.6493939,-181.6597485,234_AF,SYS
140.4581929,55.84919543,-218.7420244,234_AH,ExMes
137.6154315,30.51548211,-194.7539502,234_AI,EmDisc
210.54715,44.80357,-113.498001,234_AI,PGC
126.843582,90.091042,-212.359985,234_AI,SYS
138.2252286,-74.81893346,-192.6822695,234_AJ,ExMes
216.6929538,16.92935722,-201.4056576,234_AL,ExMes
230.5276941,59.50779927,-210.1562295,234_AM,ExMes
174.360871,95.00947696,-191.7814841,234_AN,ExMes
235.905985,159.1862756,-203.4447305,234_AO,ExMes
272.9698038,100.8420803,-198.6383429,234_AP,Tb
-131.0301724,-320.4279134,-190.4262388,234_AT,Tb
60.34371926,-93.11232178,-207.135422,234_D,Am
14.82026484,-144.2116891,-200.6764077,234_E,Am
-104.3536267,-191.6673946,-191.2200368,234_G,Am
-142.9623056,-190.5847997,-170.3999938,234_H,Am
-199.2779766,-92.66170083,-184.814516,234_K,ExMes
-174.2496166,-43.67992756,-180.8304628,234_L,ExMes
-94.405901,-36.66804569,-158.2711584,234_M,EmDisc
207.638,42.007217,-107.88903,234_M,PGC
-106.513428,21.508013,-161.982056,234_M,SYS
19.08069121,42.65861329,-206.0734194,234_O,EmDisc
208.120087,43.639862,-110.043915,234_O,PGC
5.462932197,69.49695488,-210.8220466,234_O,SYS
78.03675858,65.0475488,-199.4690048,234_P,EmDisc
209.298553,46.528294,-111.915878,234_P,PGC
79.35850447,85.8599377,-214.363538,234_P,SYS
-124.5754115,43.79840318,-190.5963155,234_Q,ExMes
-43.81962792,18.46037345,-175.7645944,234_R,EmDisc
207.416107,43.861122,-108.03978,234_R,PGC
-65.43391396,46.20660889,-187.6569517,234_R,SYS
2.036863003,48.99311524,-179.37772,234_S,EmDisc
208.15004,46.366173,-109.796547,234_S,PGC
-24.12282301,94.5539945,-204.8976457,234_S,SYS
-91.35406723,93.67317196,-195.6077454,234_T,ExMes
-65.48504656,131.2792418,-195.1235245,234_U,ExMes
-37.8621736,162.3839892,-188.9990249,234_V,ExMes
29.33166351,64.57687763,-167.047072,234_W,EmDisc
208.631226,48.957893,-108.872543,234_W,PGC
3.843128949,147.3783083,-180.983525,234_W,SYS
21.92365781,128.1632018,-217.2180532,234_X,ExMes
41.43393889,155.9840912,-197.5131598,234_Z,ExMes
-110.1384171,-198.0577861,-53.69648838,243_AA,EmDisc
207.647141,39.563007,-97.492996,243_AA,PGC
-170.533676,-63.379837,-61.411976,243_AA,SYS
-173.5352714,-190.9065986,-55.63603514,243_AB,EmDisc
207.647141,39.563007,-97.492996,243_AB,PGC
-201.1532269,-75.16271076,-58.54010574,243_AB,SYS
-50.65937508,-26.74935672,-53.87359828,243_AC,VE
-30.96232111,-4.826926694,-48.33878079,243_AD,VE
-13.058697,24.197184,-46.17532945,243_AE,VE
11.96393562,54.11688643,-44.64023666,243_AF,VE
35.83231941,76.77776245,-45.49435069,243_AG,VE
93.82778506,108.7739166,-55.83595174,243_AH,VE
134.2612309,122.8313404,-60.61434772,243_AI,VE
161.2359699,132.9640362,-52.57619884,243_AJ,VE
226.565816,126.646938,-59.14279432,243_AK,ExMes
-141.6659618,-107.7276538,-55.42097446,243_AR,EmDisc
207.647141,39.563007,-97.492996,243_AR,PGC
-163.92659,-60.416298,-61.990368,243_AR,SYS
-179.6511649,-137.0891963,-66.47082331,243_AS,EmDisc
207.647141,39.563007,-97.492996,243_AS,PGC
-193.5537101,-73.15899174,-58.53373551,243_AS,SYS
123.7833635,-117.7998668,-41.33602822,243_C,Am
159.2965425,-80.86105606,-43.32879247,243_D,Am
190.0864459,-50.46285318,-46.26507417,243_E,Am
101.7855356,-139.807454,-44.93760196,243_F,Am
53.7234183,-181.8722788,-51.3572612,243_H,Am
26.39985446,-200.1609812,-51.40632526,243_I,Am
-33.19755541,-232.1632181,-46.30375834,243_K,Am
-72.95117475,-250.408392,-42.40798513,243_L,Am
