x,y,z,shot,tissue
60.3437192615404,-93.1123217807647,-207.135422047553,234_D,Am
14.8202648443513,-144.211689136103,-200.676407722722,234_E,Am
-104.353626747764,-191.667394607143,-191.220036818518,234_G,Am
-142.962305637379,-190.584799685367,-170.399993841728,234_H,Am
123.783363493891,-117.799866777552,-41.3360282201181,243_C,Am
159.296542494528,-80.8610560591982,-43.3287924728914,243_D,Am
190.086445908286,-50.4628531792531,-46.2650741683939,243_E,Am
101.785535605848,-139.807453973917,-44.9376019598433,243_F,Am
53.723418297263,-181.872278825604,-51.3572612015243,243_H,Am
26.3998544616007,-200.160981223347,-51.4063252591003,243_I,Am
-33.1975554090239,-232.163218093476,-46.303758344835,243_K,Am
-72.9511747509778,-250.408392026959,-42.4079851348855,243_L,Am
-162.1705163747,-215.80128102126,-58.727459480756,243_N,Am
142.570668258527,-104.322523498511,-4.95511879555032,246_F,Am
81.9782707229237,-162.767805135114,-8.60208894540387,246_G,Am
-54.8712294071539,-253.638318640774,-2.05246401558662,246_I,Am
-109.893549982861,-282.119333029953,2.63524758731021,246_J,Am
-180.957261379664,-296.454351293697,2.34216777847218,246_K,Am
253.193008,72.545189,-21.094509,246_AS,Am
-267.372768843871,-240.306004378089,39.9806886863225,249_T,Am
-223.388534075611,-253.818549215569,40.0738763986,249_U,Am
-214.276416414537,-254.83399288252,39.5884304925216,249_V,Am
-189.773769719242,-256.435052946103,40.018312492872,249_W,Am
77.3522030900283,66.0009054313195,141.164526806342,255_C,Am
96.2863133117505,56.9125794627345,142.065413957021,255_D,Am
41.4732273249503,29.34152376802,144.611724733477,255_E,Am
65.6006354700186,13.7407007101908,146.078059129041,255_F,Am
12.3179051517716,-58.6062549530247,139.435139926291,255_G,Am
-27.5211581880512,-110.999469310021,138.154058984263,255_I,Am
6.07506586391188,-130.784675072058,139.871247243416,255_J,Am
-68.7446000508018,-162.088084678002,131.13280889783,255_L,Am
-120.51190687115,-218.999869628965,147.304089370707,255_M,Am
106.979681052217,108.863416320943,136.984808816379,255_Z,Am
-94.4059010007398,-36.6680456893379,-158.271158445588,234_M,EmDisc
19.0806912144444,42.6586132946363,-206.073419448326,234_O,EmDisc
78.0367585806957,65.0475488040108,-199.46900478228,234_P,EmDisc
-43.8196279243755,18.4603734518594,-175.764594430601,234_R,EmDisc
2.03686300302133,48.9931152426292,-179.377719953994,234_S,EmDisc
29.3316635069842,64.5768776337747,-167.047071976906,234_W,EmDisc
137.906010616075,82.5322385080624,-173.737404665169,234_AE,EmDisc
157.427399,88.524078,-163.676804,234_AF,EmDisc
137.615431537548,30.5154821091269,-194.753950157702,234_AI,EmDisc
205.504036938211,61.3481204360038,-79.2904217041035,243_R,EmDisc
148.644346948086,45.231775627555,-61.6396416297881,243_S,EmDisc
113.602451601613,18.8827477266116,-53.8060641242735,243_T,EmDisc
92.2633662256124,-2.73481267093707,-51.9598595894434,243_U,EmDisc
67.0085132211557,-36.2035253041447,-50.6612535774015,243_V,EmDisc
42.179925008642,-65.4123741275453,-62.5472376764127,243_W,EmDisc
12.6760830348872,-97.1075485305564,-65.8427335585958,243_X,EmDisc
-26.6245697588519,-148.128221564824,-59.9162882320655,243_Y,EmDisc
-57.6464438643937,-180.054186451948,-54.2073423641804,243_Z,EmDisc
-110.138417135557,-198.057786076106,-53.6964883815799,243_AA,EmDisc
-173.535271394912,-190.906598582729,-55.6360351439806,243_AB,EmDisc
-141.665961797321,-107.727653828511,-55.4209744641625,243_AR,EmDisc
-179.651164914797,-137.089196257452,-66.4708233134827,243_AS,EmDisc
-293.635984734281,-104.254919601582,26.0554858601301,246_O,EmDisc
232.875324462408,103.166997002265,-10.8135968691237,246_AP,EmDisc
-227.990955679802,-178.689976804941,-6.233879417142,246_AU,EmDisc
-127.603999984019,-199.841896812592,-10.535298148755,246_AV,EmDisc
-17.3633784142112,-137.745996820707,9.62315436367725,246_AW,EmDisc
0.162192402724142,-17.2771353939883,-7.46820766748164,246_AX,EmDisc
35.1896041728686,52.0568255198407,-10.3887253411569,246_AY,EmDisc
74.9522816732478,91.546794099629,-6.51598492566024,246_AZ,EmDisc
185.143795406526,98.2490642482031,41.0307141952747,249_G,EmDisc
215.562352566403,109.707045917777,41.4543608409291,249_H,EmDisc
78.7590053455353,103.532145847352,34.768954979796,249_P,EmDisc
57.1219457731292,73.437382878565,34.2929732873861,249_Q,EmDisc
112.939531029893,10.3529313500033,53.9894303450035,249_R,EmDisc
-62.4700868640822,-148.663659799956,37.3322198901832,249_Z,EmDisc
-82.2000941262112,-41.1215926634687,39.0485647343935,249_Y,EmDisc
-179.092212091675,-171.588270888953,58.1049001297821,249_AG,EmDisc
-173.541072952777,-107.32105595472,145.588629272057,255_R,EmDisc
-116.77082306481,-73.5113674976452,149.30272687894,255_S,EmDisc
-69.3313443500801,-57.2483118482099,149.268440422871,255_T,EmDisc
-37.1957156060372,-6.48118787348767,135.023302853879,255_U,EmDisc
12.1323414610294,24.4143011621491,121.970739320488,255_V,EmDisc
39.8600739737629,72.0420649610203,128.193563331261,255_W,EmDisc
66.8014943718635,116.674342267646,127.756011533869,255_X,EmDisc
-260.768157904715,-104.084997948508,133.311286584103,255_AQ,EmDisc
207.638,42.007217,-107.88903,234_M,PGC
208.120087,43.639862,-110.043915,234_O,PGC
209.298553,46.528294,-111.915878,234_P,PGC
207.416107,43.861122,-108.03978,234_R,PGC
208.15004,46.366173,-109.796547,234_S,PGC
208.631226,48.957893,-108.872543,234_W,PGC
212.013153,51.381416,-111.428261,234_AE,PGC
214.019622610824,54.2505641853893,-109.526551699357,234_AF,PGC
210.54715,44.80357,-113.498001,234_AI,PGC
222.6195167189,44.8917922366164,-55.2592607588039,243_R,PGC
215.312192768988,44.2525009166414,-68.723331505382,243_S,PGC
210.06601,41.826015,-85.966812,243_T,PGC
208.620448927113,41.2725084310928,-90.6686754477672,243_U,PGC
207.95961,40.115204,-94.602219,243_V,PGC
207.95961,40.115204,-94.602219,243_W,PGC
207.647141,39.563007,-97.492996,243_X,PGC
207.647141,39.563007,-97.492996,243_Y,PGC
207.647141,39.563007,-97.492996,243_Z,PGC
207.647141,39.563007,-97.492996,243_AA,PGC
207.647141,39.563007,-97.492996,243_AB,PGC
207.647141,39.563007,-97.492996,243_AR,PGC
207.647141,39.563007,-97.492996,243_AS,PGC
128.434509,127.558678,94.449844,246_O,PGC
233.617373037123,79.5548238321058,-7.99910175473599,246_AP,PGC
128.434509,127.558678,94.449844,246_AU,PGC
186.232788,60.287392,79.464195,246_AV,PGC
186.492493,60.561668,77.810081,246_AW,PGC
183.617355,64.949867,78.592369,246_AX,PGC
128.638811209301,129.119773741269,91.9982054726382,246_AY,PGC
129.871765,136.576172,87.698746,246_AZ,PGC
202.739360477381,108.819836240223,57.5795942869998,249_G,PGC
213.674581181942,115.554690745838,39.6742881180747,249_H,PGC
129.953738621198,128.80717789222,91.169498201875,249_P,PGC
130.894089,125.981361,93.076439,249_Q,PGC
181.064073448004,68.1326979242446,81.2060413846115,249_R,PGC
186.232788,60.287392,79.464195,249_Z,PGC
128.434509,127.558678,94.449844,249_Y,PGC
128.434509,127.558678,94.449844,249_AG,PGC
130.632324,124.532249,97.715691,255_R,PGC
130.632324,124.532249,97.715691,255_S,PGC
130.632324,124.532249,97.715691,255_T,PGC
130.896255,124.900726,100.441635,255_U,PGC
130.896255,124.900726,100.441635,255_V,PGC
129.748474,126.680672,100.446747,255_W,PGC
128.355603308641,133.835804378707,103.059190220617,255_X,PGC
129.444489,126.256058,97.749046,255_AQ,PGC
-106.513428,21.508013,-161.982056,234_M,SYS
5.46293219740771,69.4969548832642,-210.822046637682,234_O,SYS
79.3585044660387,85.8599377038108,-214.363537965208,234_P,SYS
-65.4339139552974,46.2066088906294,-187.656951739779,234_R,SYS
-24.1228230121038,94.5539945040427,-204.897645724352,234_S,SYS
3.84312894852462,147.378308345745,-180.983525015105,234_W,SYS
